Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672667457,2023-01-02T13:50:57Z,HAL89,"42.371895,-71.02198",0,4,45
1672667472,2023-01-02T13:51:12Z,HAL89,"42.372055,-71.021774",0,3,42
1672667495,2023-01-02T13:51:35Z,HAL89,"42.372391,-71.021255",0,5,53
1672667501,2023-01-02T13:51:41Z,HAL89,"42.372437,-71.021027",0,6,67
1672667507,2023-01-02T13:51:47Z,HAL89,"42.372437,-71.02079",0,8,81
1672667512,2023-01-02T13:51:52Z,HAL89,"42.372395,-71.020531",0,8,92
1672667516,2023-01-02T13:51:56Z,HAL89,"42.372379,-71.020325",0,8,95
1672667520,2023-01-02T13:52:00Z,HAL89,"42.372345,-71.020119",0,9,98
1672667529,2023-01-02T13:52:09Z,HAL89,"42.372372,-71.0196",0,10,84
1672667537,2023-01-02T13:52:17Z,HAL89,"42.37262,-71.01915",0,11,53
1672667543,2023-01-02T13:52:23Z,HAL89,"42.37286,-71.018951",0,11,36
1672667547,2023-01-02T13:52:27Z,HAL89,"42.37307,-71.018837",0,12,25
1672667552,2023-01-02T13:52:32Z,HAL89,"42.373306,-71.018745",0,12,19
1672667557,2023-01-02T13:52:37Z,HAL89,"42.373535,-71.018593",0,11,25
1672667564,2023-01-02T13:52:44Z,HAL89,"42.373833,-71.01825",0,12,42
1672667568,2023-01-02T13:52:48Z,HAL89,"42.373966,-71.018005",0,11,50
1672667577,2023-01-02T13:52:57Z,HAL89,"42.373966,-71.017448",0,10,92
1672667581,2023-01-02T13:53:01Z,HAL89,"42.373848,-71.017235",0,10,115
1672667586,2023-01-02T13:53:06Z,HAL89,"42.373661,-71.017029",0,10,132
1672667593,2023-01-02T13:53:13Z,HAL89,"42.373432,-71.016716",0,11,135
1672667599,2023-01-02T13:53:19Z,HAL89,"42.373184,-71.016388",0,12,135
1672667604,2023-01-02T13:53:24Z,HAL89,"42.373013,-71.016136",0,13,135
1672667608,2023-01-02T13:53:28Z,HAL89,"42.372826,-71.015892",0,13,135
1672667613,2023-01-02T13:53:33Z,HAL89,"42.372581,-71.015564",0,14,135
1672667620,2023-01-02T13:53:40Z,HAL89,"42.372265,-71.015144",0,15,135
1672667626,2023-01-02T13:53:46Z,HAL89,"42.371922,-71.014687",0,16,135
1672667633,2023-01-02T13:53:53Z,HAL89,"42.371555,-71.014206",0,17,135
1672667641,2023-01-02T13:54:01Z,HAL89,"42.371063,-71.013535",0,18,135
1672667649,2023-01-02T13:54:09Z,HAL89,"42.370571,-71.012878",0,19,135
1672667660,2023-01-02T13:54:20Z,HAL89,"42.369862,-71.011909",0,17,135
1672667666,2023-01-02T13:54:26Z,HAL89,"42.369648,-71.011635",0,7,135
1672667671,2023-01-02T13:54:31Z,HAL89,"42.369602,-71.011406",0,8,115
1672667677,2023-01-02T13:54:37Z,HAL89,"42.369762,-71.011154",0,9,67
1672667683,2023-01-02T13:54:43Z,HAL89,"42.369987,-71.01104",0,9,36
1672667688,2023-01-02T13:54:48Z,HAL89,"42.370193,-71.01088",0,10,30
1672667693,2023-01-02T13:54:53Z,HAL89,"42.370422,-71.010727",0,11,25
1672667699,2023-01-02T13:54:59Z,HAL89,"42.370697,-71.010551",0,12,25
1672667704,2023-01-02T13:55:04Z,HAL89,"42.370937,-71.010384",0,12,25
1672667708,2023-01-02T13:55:08Z,HAL89,"42.371143,-71.010269",0,12,25
1672667713,2023-01-02T13:55:13Z,HAL89,"42.371429,-71.010071",0,12,25
1672667720,2023-01-02T13:55:20Z,HAL89,"42.371765,-71.009857",0,13,25
1672667726,2023-01-02T13:55:26Z,HAL89,"42.372082,-71.009651",0,13,25
1672667731,2023-01-02T13:55:31Z,HAL89,"42.372402,-71.009445",0,14,25
1672667737,2023-01-02T13:55:37Z,HAL89,"42.372791,-71.009193",0,14,25
1672667743,2023-01-02T13:55:43Z,HAL89,"42.373169,-71.00898",0,15,22
1672667747,2023-01-02T13:55:47Z,HAL89,"42.373405,-71.008858",0,15,19
1672667751,2023-01-02T13:55:51Z,HAL89,"42.373627,-71.008743",0,15,19
1672667754,2023-01-02T13:55:54Z,HAL89,"42.373882,-71.008629",0,16,19
1672667757,2023-01-02T13:55:57Z,HAL89,"42.374107,-71.008522",0,17,19
1672667760,2023-01-02T13:56:00Z,HAL89,"42.374348,-71.008408",0,17,19
1672667766,2023-01-02T13:56:06Z,HAL89,"42.374825,-71.008171",0,18,19
1672667772,2023-01-02T13:56:12Z,HAL89,"42.375305,-71.007927",0,18,19
1672667778,2023-01-02T13:56:18Z,HAL89,"42.375801,-71.007698",0,19,19
1672667784,2023-01-02T13:56:24Z,HAL89,"42.376316,-71.007446",0,19,19
1672667790,2023-01-02T13:56:30Z,HAL89,"42.376877,-71.007179",0,20,19
1672667796,2023-01-02T13:56:36Z,HAL89,"42.377403,-71.006935",0,21,19
1672667802,2023-01-02T13:56:42Z,HAL89,"42.377945,-71.006683",0,17,19
1672667808,2023-01-02T13:56:48Z,HAL89,"42.378246,-71.006477",0,10,25
1672667813,2023-01-02T13:56:53Z,HAL89,"42.378387,-71.006248",0,10,42
