Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672934438,2023-01-05T16:00:38Z,HAL89,"42.370766,-71.02121",0,1,154
1672934451,2023-01-05T16:00:51Z,HAL89,"42.37112,-71.021652",0,2,157
1672934469,2023-01-05T16:01:09Z,HAL89,"42.371323,-71.021706",0,2,143
1672934487,2023-01-05T16:01:27Z,HAL89,"42.371532,-71.02182",0,2,109
1672934505,2023-01-05T16:01:45Z,HAL89,"42.37167,-71.022041",0,3,75
1672934521,2023-01-05T16:02:01Z,HAL89,"42.37167,-71.022255",0,2,53
1672934543,2023-01-05T16:02:23Z,HAL89,"42.371159,-71.02166",0,1,61
1672934734,2023-01-05T16:05:34Z,HAL89,"42.371532,-71.02243",0,0,61
1672934755,2023-01-05T16:05:55Z,HAL89,"42.371696,-71.022217",0,4,50
1672934769,2023-01-05T16:06:09Z,HAL89,"42.371876,-71.022011",0,3,42
1672934790,2023-01-05T16:06:30Z,HAL89,"42.372044,-71.021805",0,2,42
1672934823,2023-01-05T16:07:03Z,HAL89,"42.37236,-71.021324",0,3,50
1672934847,2023-01-05T16:07:27Z,HAL89,"42.372406,-71.020653",0,7,90
1672934852,2023-01-05T16:07:32Z,HAL89,"42.372383,-71.020447",0,7,95
1672934859,2023-01-05T16:07:39Z,HAL89,"42.372345,-71.020134",0,7,98
1672934869,2023-01-05T16:07:49Z,HAL89,"42.372379,-71.019623",0,8,84
1672934874,2023-01-05T16:07:54Z,HAL89,"42.372459,-71.019402",0,9,70
1672934881,2023-01-05T16:08:01Z,HAL89,"42.372688,-71.019135",0,9,45
1672934886,2023-01-05T16:08:06Z,HAL89,"42.372871,-71.018929",0,9,42
1672934891,2023-01-05T16:08:11Z,HAL89,"42.372986,-71.018654",0,11,56
1672934894,2023-01-05T16:08:14Z,HAL89,"42.373009,-71.018433",0,10,70
1672934899,2023-01-05T16:08:19Z,HAL89,"42.372952,-71.018219",0,8,92
1672934905,2023-01-05T16:08:25Z,HAL89,"42.372837,-71.018013",0,7,115
1672934911,2023-01-05T16:08:31Z,HAL89,"42.372673,-71.017799",0,8,129
1672934916,2023-01-05T16:08:36Z,HAL89,"42.372509,-71.017586",0,9,135
1672934921,2023-01-05T16:08:41Z,HAL89,"42.372349,-71.01738",0,10,135
1672934926,2023-01-05T16:08:46Z,HAL89,"42.372196,-71.017174",0,11,135
1672934933,2023-01-05T16:08:53Z,HAL89,"42.371918,-71.016808",0,11,135
1672934940,2023-01-05T16:09:00Z,HAL89,"42.371651,-71.016457",0,12,135
1672934958,2023-01-05T16:09:18Z,HAL89,"42.370903,-71.015457",0,15,135
1672934963,2023-01-05T16:09:23Z,HAL89,"42.370605,-71.015045",0,15,135
1672934991,2023-01-05T16:09:51Z,HAL89,"42.368935,-71.012802",0,18,135
1672935006,2023-01-05T16:10:06Z,HAL89,"42.368076,-71.011665",0,15,137
1672935024,2023-01-05T16:10:24Z,HAL89,"42.367332,-71.011429",0,9,180
1672935031,2023-01-05T16:10:31Z,HAL89,"42.367039,-71.011536",0,9,194
1672935038,2023-01-05T16:10:38Z,HAL89,"42.36676,-71.011681",0,10,199
1672935045,2023-01-05T16:10:45Z,HAL89,"42.366428,-71.011848",0,11,199
1672935053,2023-01-05T16:10:53Z,HAL89,"42.366005,-71.012054",0,13,199
1672935058,2023-01-05T16:10:58Z,HAL89,"42.365692,-71.012207",0,13,199
1672935064,2023-01-05T16:11:04Z,HAL89,"42.365318,-71.012383",0,14,199
1672935071,2023-01-05T16:11:11Z,HAL89,"42.364887,-71.012589",0,15,199
1672935076,2023-01-05T16:11:16Z,HAL89,"42.364494,-71.012787",0,16,199
1672935083,2023-01-05T16:11:23Z,HAL89,"42.364059,-71.012993",0,15,199
1672935089,2023-01-05T16:11:29Z,HAL89,"42.36375,-71.013145",0,9,199
1672935100,2023-01-05T16:11:40Z,HAL89,"42.36343,-71.013161",0,6,180
1672935116,2023-01-05T16:11:56Z,HAL89,"42.363144,-71.012611",0,7,126
1672935123,2023-01-05T16:12:03Z,HAL89,"42.363003,-71.012321",0,9,123
1672935128,2023-01-05T16:12:08Z,HAL89,"42.362881,-71.012054",0,9,120
1672935133,2023-01-05T16:12:13Z,HAL89,"42.362766,-71.011818",0,9,120
1672935140,2023-01-05T16:12:20Z,HAL89,"42.362629,-71.011459",0,10,118
1672935143,2023-01-05T16:12:23Z,HAL89,"42.36256,-71.011238",0,11,115
1672935147,2023-01-05T16:12:27Z,HAL89,"42.36248,-71.011009",0,12,115
1672935151,2023-01-05T16:12:31Z,HAL89,"42.3624,-71.010788",0,9,115
1672935157,2023-01-05T16:12:37Z,HAL89,"42.362293,-71.010567",0,6,120
1672935171,2023-01-05T16:12:51Z,HAL89,"42.361954,-71.010475",0,6,168
1672935180,2023-01-05T16:13:00Z,HAL89,"42.361736,-71.010567",0,6,188
1672935187,2023-01-05T16:13:07Z,HAL89,"42.361534,-71.010674",0,7,196
1672935200,2023-01-05T16:13:20Z,HAL89,"42.36108,-71.010895",0,9,199
1672935206,2023-01-05T16:13:26Z,HAL89,"42.36087,-71.011009",0,9,199
1672935217,2023-01-05T16:13:37Z,HAL89,"42.360371,-71.011253",0,11,199
1672935224,2023-01-05T16:13:44Z,HAL89,"42.359974,-71.011429",0,12,199
1672935234,2023-01-05T16:13:54Z,HAL89,"42.359417,-71.011696",0,13,199
1672935240,2023-01-05T16:14:00Z,HAL89,"42.359127,-71.011833",0,11,199
1672935393,2023-01-05T16:16:33Z,HAL89,"42.356518,-71.013084",0,4,196
1672935405,2023-01-05T16:16:45Z,HAL89,"42.356266,-71.01313",0,5,191
1672935415,2023-01-05T16:16:55Z,HAL89,"42.356049,-71.013145",0,5,182
1672935426,2023-01-05T16:17:06Z,HAL89,"42.355846,-71.013069",0,4,168
1672935443,2023-01-05T16:17:23Z,HAL89,"42.355774,-71.012741",0,4,120
1672935454,2023-01-05T16:17:34Z,HAL89,"42.355843,-71.012535",0,3,92
1672935467,2023-01-05T16:17:47Z,HAL89,"42.355904,-71.012268",0,3,78
1672935497,2023-01-05T16:18:17Z,HAL89,"42.355946,-71.01194",0,11,78
1672935511,2023-01-05T16:18:31Z,HAL89,"42.356678,-71.00782",0,74,75
1672935526,2023-01-05T16:18:46Z,HAL89,"42.358486,-70.997482",0,137,76
1672935532,2023-01-05T16:18:52Z,HAL89,"42.359463,-70.991867",0,156,77
1672935538,2023-01-05T16:18:58Z,HAL89,"42.360397,-70.986038",125,162,78
1672935545,2023-01-05T16:19:05Z,HAL89,"42.361359,-70.979668",400,162,79
1672935551,2023-01-05T16:19:11Z,HAL89,"42.362072,-70.974045",675,163,80
1672935557,2023-01-05T16:19:17Z,HAL89,"42.362869,-70.967751",1000,161,80
1672935563,2023-01-05T16:19:23Z,HAL89,"42.363701,-70.961845",1375,157,79
1672935569,2023-01-05T16:19:29Z,HAL89,"42.364563,-70.956139",1650,155,78
1672935575,2023-01-05T16:19:35Z,HAL89,"42.365387,-70.950958",1800,157,77
1672935581,2023-01-05T16:19:41Z,HAL89,"42.366585,-70.944275",1900,165,76
1672935583,2023-01-05T16:19:43Z,HAL89,"42.3671,-70.941658",1925,169,75
1672935590,2023-01-05T16:19:50Z,HAL89,"42.368362,-70.934723",2000,175,75
1672935597,2023-01-05T16:19:57Z,HAL89,"42.369984,-70.926392",2125,187,75
1672935603,2023-01-05T16:20:03Z,HAL89,"42.371197,-70.920197",2300,190,75
1672935609,2023-01-05T16:20:09Z,HAL89,"42.372543,-70.913239",2550,188,75
1672935615,2023-01-05T16:20:15Z,HAL89,"42.373756,-70.906654",2850,187,75
1672935621,2023-01-05T16:20:21Z,HAL89,"42.375107,-70.899696",3075,186,75
1672935627,2023-01-05T16:20:27Z,HAL89,"42.376511,-70.89209",3200,191,76
1672935634,2023-01-05T16:20:34Z,HAL89,"42.377609,-70.885849",3325,198,76
1672935640,2023-01-05T16:20:40Z,HAL89,"42.378983,-70.878296",3450,202,76
1672935646,2023-01-05T16:20:46Z,HAL89,"42.380413,-70.870056",3625,206,76
1672935653,2023-01-05T16:20:53Z,HAL89,"42.382233,-70.859879",3850,209,76
1672935662,2023-01-05T16:21:02Z,HAL89,"42.384232,-70.848595",4075,216,76
1672935670,2023-01-05T16:21:10Z,HAL89,"42.385719,-70.840225",4175,225,76
1672935677,2023-01-05T16:21:17Z,HAL89,"42.387859,-70.828346",4275,236,75
1672935683,2023-01-05T16:21:23Z,HAL89,"42.390015,-70.819618",4375,244,69
1672935686,2023-01-05T16:21:26Z,HAL89,"42.391258,-70.815826",4425,248,62
1672935689,2023-01-05T16:21:29Z,HAL89,"42.393219,-70.811569",4450,251,56
1672935692,2023-01-05T16:21:32Z,HAL89,"42.395416,-70.807693",4500,254,49
1672935695,2023-01-05T16:21:35Z,HAL89,"42.397964,-70.804329",4550,256,42
1672935698,2023-01-05T16:21:38Z,HAL89,"42.400661,-70.801392",4625,258,37
1672935701,2023-01-05T16:21:41Z,HAL89,"42.403736,-70.798584",4700,260,34
1672935704,2023-01-05T16:21:44Z,HAL89,"42.406715,-70.795959",4775,263,32
1672935707,2023-01-05T16:21:47Z,HAL89,"42.409836,-70.793343",4850,266,32
1672935710,2023-01-05T16:21:50Z,HAL89,"42.413086,-70.790527",4925,270,32
1672935713,2023-01-05T16:21:53Z,HAL89,"42.416519,-70.787598",4975,274,32
1672935716,2023-01-05T16:21:56Z,HAL89,"42.418865,-70.785484",5050,277,32
1672935719,2023-01-05T16:21:59Z,HAL89,"42.422562,-70.782227",5125,281,33
1672935722,2023-01-05T16:22:02Z,HAL89,"42.425949,-70.779228",5175,284,33
1672935725,2023-01-05T16:22:05Z,HAL89,"42.429428,-70.776176",5250,288,32
1672935731,2023-01-05T16:22:11Z,HAL89,"42.436554,-70.770988",5400,292,24
1672935734,2023-01-05T16:22:14Z,HAL89,"42.440323,-70.769058",5500,292,18
1672935737,2023-01-05T16:22:17Z,HAL89,"42.444515,-70.767601",5600,292,12
1672935740,2023-01-05T16:22:20Z,HAL89,"42.448013,-70.766937",5700,291,5
1672935743,2023-01-05T16:22:23Z,HAL89,"42.452179,-70.766747",5850,289,359
1672935746,2023-01-05T16:22:26Z,HAL89,"42.456291,-70.767159",6000,287,355
1672935749,2023-01-05T16:22:29Z,HAL89,"42.460144,-70.76812",6150,282,347
1672935752,2023-01-05T16:22:32Z,HAL89,"42.463989,-70.769684",6300,280,343
1672935755,2023-01-05T16:22:35Z,HAL89,"42.467468,-70.771431",6450,277,339
1672935758,2023-01-05T16:22:38Z,HAL89,"42.471375,-70.773865",6650,272,334
1672935761,2023-01-05T16:22:41Z,HAL89,"42.4744,-70.77597",6800,271,333
