Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673099252,2023-01-07T13:47:32Z,HAL89,"42.371197,-71.021629",0,2,143
1673099283,2023-01-07T13:48:03Z,HAL89,"42.371498,-71.021942",0,3,98
1673099450,2023-01-07T13:50:50Z,HAL89,"42.371906,-71.021965",0,5,45
1673099460,2023-01-07T13:51:00Z,HAL89,"42.372082,-71.021744",0,5,42
1673099481,2023-01-07T13:51:21Z,HAL89,"42.372402,-71.021133",0,6,59
1673099486,2023-01-07T13:51:26Z,HAL89,"42.372425,-71.020912",0,7,73
1673099492,2023-01-07T13:51:32Z,HAL89,"42.372395,-71.020607",0,8,90
1673099497,2023-01-07T13:51:37Z,HAL89,"42.372372,-71.020355",0,9,95
1673099512,2023-01-07T13:51:52Z,HAL89,"42.372414,-71.019508",0,10,78
1673099518,2023-01-07T13:51:58Z,HAL89,"42.372585,-71.019211",0,10,56
1673099523,2023-01-07T13:52:03Z,HAL89,"42.372791,-71.018997",0,10,42
1673099530,2023-01-07T13:52:10Z,HAL89,"42.372986,-71.018669",0,10,53
1673099534,2023-01-07T13:52:14Z,HAL89,"42.373013,-71.018417",0,10,73
1673099538,2023-01-07T13:52:18Z,HAL89,"42.37294,-71.018204",0,10,95
1673099543,2023-01-07T13:52:23Z,HAL89,"42.372814,-71.017982",0,9,115
1673099548,2023-01-07T13:52:28Z,HAL89,"42.372643,-71.017746",0,10,129
1673099553,2023-01-07T13:52:33Z,HAL89,"42.372463,-71.017509",0,11,135
1673099558,2023-01-07T13:52:38Z,HAL89,"42.372253,-71.017235",0,14,135
1673099561,2023-01-07T13:52:41Z,HAL89,"42.372089,-71.017014",0,14,135
1673099567,2023-01-07T13:52:47Z,HAL89,"42.371834,-71.016663",0,15,135
1673099574,2023-01-07T13:52:54Z,HAL89,"42.371487,-71.016197",0,15,135
1673099588,2023-01-07T13:53:08Z,HAL89,"42.370659,-71.015099",0,18,135
1673099596,2023-01-07T13:53:16Z,HAL89,"42.370182,-71.014442",0,19,135
1673099601,2023-01-07T13:53:21Z,HAL89,"42.369793,-71.013939",0,20,135
1673099608,2023-01-07T13:53:28Z,HAL89,"42.369427,-71.013443",0,15,135
1673099613,2023-01-07T13:53:33Z,HAL89,"42.369232,-71.01313",0,12,129
1673099616,2023-01-07T13:53:36Z,HAL89,"42.36916,-71.012924",0,12,120
1673099619,2023-01-07T13:53:39Z,HAL89,"42.369137,-71.012718",0,12,109
1673099623,2023-01-07T13:53:43Z,HAL89,"42.369148,-71.012444",0,12,92
1673099626,2023-01-07T13:53:46Z,HAL89,"42.369183,-71.012177",0,13,84
1673099630,2023-01-07T13:53:50Z,HAL89,"42.369274,-71.011887",0,12,73
1673099634,2023-01-07T13:53:54Z,HAL89,"42.369415,-71.011604",0,12,59
1673099639,2023-01-07T13:53:59Z,HAL89,"42.369614,-71.01136",0,12,47
1673099644,2023-01-07T13:54:04Z,HAL89,"42.369812,-71.011154",0,12,39
1673099648,2023-01-07T13:54:08Z,HAL89,"42.370033,-71.010986",0,13,30
1673099652,2023-01-07T13:54:12Z,HAL89,"42.370251,-71.010834",0,14,28
1673099656,2023-01-07T13:54:16Z,HAL89,"42.370544,-71.010643",0,15,25
1673099662,2023-01-07T13:54:22Z,HAL89,"42.370892,-71.010414",0,15,25
1673099670,2023-01-07T13:54:30Z,HAL89,"42.371418,-71.010071",0,15,25
1673099677,2023-01-07T13:54:37Z,HAL89,"42.371834,-71.009796",0,15,25
1673099685,2023-01-07T13:54:45Z,HAL89,"42.37236,-71.00946",0,16,25
1673099692,2023-01-07T13:54:52Z,HAL89,"42.372871,-71.009132",0,17,25
1673099698,2023-01-07T13:54:58Z,HAL89,"42.37336,-71.008858",0,17,22
1673099702,2023-01-07T13:55:02Z,HAL89,"42.373627,-71.008728",0,18,19
1673099704,2023-01-07T13:55:04Z,HAL89,"42.373856,-71.008621",0,18,19
1673099707,2023-01-07T13:55:07Z,HAL89,"42.374115,-71.008507",0,19,19
1673099710,2023-01-07T13:55:10Z,HAL89,"42.374386,-71.008377",0,20,19
1673099713,2023-01-07T13:55:13Z,HAL89,"42.374668,-71.008224",0,20,19
1673099719,2023-01-07T13:55:19Z,HAL89,"42.37513,-71.008011",0,20,19
1673099724,2023-01-07T13:55:24Z,HAL89,"42.375618,-71.007767",0,20,19
1673099731,2023-01-07T13:55:31Z,HAL89,"42.376209,-71.007484",0,20,19
1673099736,2023-01-07T13:55:36Z,HAL89,"42.376663,-71.007271",0,17,19
1673099743,2023-01-07T13:55:43Z,HAL89,"42.377094,-71.007057",0,13,19
