Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673876502,2023-01-16T13:41:42Z,HAL89,"42.370731,-71.021324",0,0,149
1673876770,2023-01-16T13:46:10Z,HAL89,"42.370411,-71.021385",0,0,149
1673876792,2023-01-16T13:46:32Z,HAL89,"42.370617,-71.021385",0,0,149
1673876840,2023-01-16T13:47:20Z,HAL89,"42.370823,-71.021408",0,1,149
1673877309,2023-01-16T13:55:09Z,HAL89,"42.37088,-71.020966",0,0,149
1673877327,2023-01-16T13:55:27Z,HAL89,"42.370869,-71.021194",0,0,149
1673877672,2023-01-16T14:01:12Z,HAL89,"42.370903,-71.021423",0,0,149
1673877682,2023-01-16T14:01:22Z,HAL89,"42.370869,-71.021217",0,0,149
1673877712,2023-01-16T14:01:52Z,HAL89,"42.370892,-71.021439",0,0,149
1673878579,2023-01-16T14:16:19Z,HAL89,"42.371098,-71.021584",0,2,157
1673878951,2023-01-16T14:22:31Z,HAL89,"42.372417,-71.020943",0,7,73
1673878957,2023-01-16T14:22:37Z,HAL89,"42.372391,-71.020638",0,8,90
1673878962,2023-01-16T14:22:42Z,HAL89,"42.372368,-71.020386",0,8,95
1673878968,2023-01-16T14:22:48Z,HAL89,"42.372337,-71.020081",0,9,95
1673878976,2023-01-16T14:22:56Z,HAL89,"42.372372,-71.019646",0,9,84
1673878981,2023-01-16T14:23:01Z,HAL89,"42.372463,-71.019363",0,9,67
1673878988,2023-01-16T14:23:08Z,HAL89,"42.372688,-71.019104",0,9,45
1673878995,2023-01-16T14:23:15Z,HAL89,"42.372894,-71.018806",0,9,47
1673878999,2023-01-16T14:23:19Z,HAL89,"42.372952,-71.018578",0,10,61
1673879005,2023-01-16T14:23:25Z,HAL89,"42.372929,-71.018227",0,10,90
1673879009,2023-01-16T14:23:29Z,HAL89,"42.372814,-71.018021",0,10,112
1673879014,2023-01-16T14:23:34Z,HAL89,"42.37265,-71.017784",0,10,126
1673879019,2023-01-16T14:23:39Z,HAL89,"42.372463,-71.017525",0,11,132
1673879024,2023-01-16T14:23:44Z,HAL89,"42.372276,-71.017273",0,12,135
1673879028,2023-01-16T14:23:48Z,HAL89,"42.372116,-71.017059",0,13,135
1673879032,2023-01-16T14:23:52Z,HAL89,"42.371941,-71.016823",0,13,135
1673879036,2023-01-16T14:23:56Z,HAL89,"42.371773,-71.016594",0,13,135
1673879062,2023-01-16T14:24:22Z,HAL89,"42.370449,-71.014809",0,17,135
1673879101,2023-01-16T14:25:01Z,HAL89,"42.368111,-71.011696",0,14,135
1673879119,2023-01-16T14:25:19Z,HAL89,"42.367123,-71.01149",0,13,191
1673879125,2023-01-16T14:25:25Z,HAL89,"42.366737,-71.011658",0,14,196
1673879137,2023-01-16T14:25:37Z,HAL89,"42.366005,-71.012032",0,15,199
1673879143,2023-01-16T14:25:43Z,HAL89,"42.365585,-71.012222",0,16,199
1673879149,2023-01-16T14:25:49Z,HAL89,"42.365135,-71.012444",0,17,199
1673879156,2023-01-16T14:25:56Z,HAL89,"42.364586,-71.012718",0,18,199
1673879167,2023-01-16T14:26:07Z,HAL89,"42.363827,-71.013084",0,12,199
1673879179,2023-01-16T14:26:19Z,HAL89,"42.363384,-71.01313",0,8,174
1673879185,2023-01-16T14:26:25Z,HAL89,"42.363247,-71.012863",0,8,140
1673879190,2023-01-16T14:26:30Z,HAL89,"42.363144,-71.012642",0,10,129
1673879194,2023-01-16T14:26:34Z,HAL89,"42.363037,-71.012383",0,12,123
1673879212,2023-01-16T14:26:52Z,HAL89,"42.362446,-71.010941",0,15,115
1673879216,2023-01-16T14:26:56Z,HAL89,"42.362339,-71.010597",0,15,112
1673879219,2023-01-16T14:26:59Z,HAL89,"42.362244,-71.010323",0,14,112
1673879222,2023-01-16T14:27:02Z,HAL89,"42.362171,-71.010086",0,14,112
1673879225,2023-01-16T14:27:05Z,HAL89,"42.362091,-71.009865",0,14,115
1673879231,2023-01-16T14:27:11Z,HAL89,"42.361931,-71.009369",0,15,112
1673879237,2023-01-16T14:27:17Z,HAL89,"42.361748,-71.008835",0,15,115
1673879244,2023-01-16T14:27:24Z,HAL89,"42.361557,-71.008247",0,16,112
1673879249,2023-01-16T14:27:29Z,HAL89,"42.361382,-71.007713",0,17,112
1673879257,2023-01-16T14:27:37Z,HAL89,"42.361141,-71.006851",0,18,109
1673879260,2023-01-16T14:27:40Z,HAL89,"42.361061,-71.006531",0,17,109
1673879263,2023-01-16T14:27:43Z,HAL89,"42.361,-71.006302",0,18,109
1673879265,2023-01-16T14:27:45Z,HAL89,"42.360924,-71.006012",0,19,109
1673879268,2023-01-16T14:27:48Z,HAL89,"42.360836,-71.005661",0,19,109
1673879276,2023-01-16T14:27:56Z,HAL89,"42.360626,-71.004829",0,18,109
1673879282,2023-01-16T14:28:02Z,HAL89,"42.360443,-71.004105",0,18,109
1673879288,2023-01-16T14:28:08Z,HAL89,"42.360271,-71.003433",0,18,109
1673879296,2023-01-16T14:28:16Z,HAL89,"42.360069,-71.002609",0,15,109
1673879311,2023-01-16T14:28:31Z,HAL89,"42.359802,-71.001595",0,8,109
1673879317,2023-01-16T14:28:37Z,HAL89,"42.359745,-71.001373",0,6,109
1673879372,2023-01-16T14:29:32Z,HAL89,"42.359615,-71.000999",0,4,115
1673879391,2023-01-16T14:29:51Z,HAL89,"42.35923,-71.000313",0,7,129
1673879402,2023-01-16T14:30:02Z,HAL89,"42.359035,-71.000038",0,3,132
1673879494,2023-01-16T14:31:34Z,HAL89,"42.358852,-70.999786",0,8,135
1673879503,2023-01-16T14:31:43Z,HAL89,"42.358475,-70.999268",0,13,135
1673879512,2023-01-16T14:31:52Z,HAL89,"42.358067,-70.998749",0,13,135
1673879518,2023-01-16T14:31:58Z,HAL89,"42.3578,-70.998383",0,15,135
1673879525,2023-01-16T14:32:05Z,HAL89,"42.357491,-70.997963",0,15,135
1673879531,2023-01-16T14:32:11Z,HAL89,"42.35717,-70.997536",0,15,135
