Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672628773,2023-01-02T03:06:13Z,ANZ29,"29.988777,-95.336388",0,3,194
1672628791,2023-01-02T03:06:31Z,ANZ29,"29.989002,-95.336327",0,3,216
1672628809,2023-01-02T03:06:49Z,ANZ29,"29.989208,-95.336189",0,3,247
1672628830,2023-01-02T03:07:10Z,ANZ29,"29.989288,-95.33596",0,3,270
1672628852,2023-01-02T03:07:32Z,ANZ29,"29.989277,-95.335686",0,1,267
1672629088,2023-01-02T03:11:28Z,ANZ29,"29.989323,-95.336182",0,6,278
1672629096,2023-01-02T03:11:36Z,ANZ29,"29.989487,-95.336418",0,7,303
1672629102,2023-01-02T03:11:42Z,ANZ29,"29.989689,-95.336502",0,8,329
1672629108,2023-01-02T03:11:48Z,ANZ29,"29.989952,-95.33651",0,10,354
1672629113,2023-01-02T03:11:53Z,ANZ29,"29.990192,-95.336502",0,11,357
1672629118,2023-01-02T03:11:58Z,ANZ29,"29.990429,-95.336502",0,13,357
1672629122,2023-01-02T03:12:02Z,ANZ29,"29.990696,-95.336594",0,12,340
1672629128,2023-01-02T03:12:08Z,ANZ29,"29.990845,-95.336853",0,12,306
1672629131,2023-01-02T03:12:11Z,ANZ29,"29.990879,-95.337097",0,12,284
1672629135,2023-01-02T03:12:15Z,ANZ29,"29.990894,-95.337311",0,12,275
1672629138,2023-01-02T03:12:18Z,ANZ29,"29.990902,-95.337524",0,13,270
1672629142,2023-01-02T03:12:22Z,ANZ29,"29.990894,-95.33783",0,14,267
1672629145,2023-01-02T03:12:25Z,ANZ29,"29.990908,-95.338051",0,14,267
1672629148,2023-01-02T03:12:28Z,ANZ29,"29.990908,-95.338257",0,14,267
1672629152,2023-01-02T03:12:32Z,ANZ29,"29.990908,-95.338516",0,14,267
1672629156,2023-01-02T03:12:36Z,ANZ29,"29.990902,-95.338829",0,14,267
1672629166,2023-01-02T03:12:46Z,ANZ29,"29.990902,-95.339622",0,15,267
1672629171,2023-01-02T03:12:51Z,ANZ29,"29.990902,-95.340042",0,15,267
