Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672715083,2023-01-03T03:04:43Z,ANZ29,"29.988405,-95.336159",0,3,151
1672715103,2023-01-03T03:05:03Z,ANZ29,"29.988613,-95.336296",0,2,168
1672715123,2023-01-03T03:05:23Z,ANZ29,"29.988823,-95.336372",0,2,194
1672715144,2023-01-03T03:05:44Z,ANZ29,"29.989048,-95.336342",0,2,225
1672715169,2023-01-03T03:06:09Z,ANZ29,"29.989254,-95.336128",0,2,264
1672715198,2023-01-03T03:06:38Z,ANZ29,"29.98844,-95.336197",0,0,270
1672715264,2023-01-03T03:07:44Z,ANZ29,"29.989277,-95.335976",0,0,270
1672715467,2023-01-03T03:11:07Z,ANZ29,"29.989277,-95.336365",0,7,267
1672715474,2023-01-03T03:11:14Z,ANZ29,"29.9893,-95.336624",0,7,272
1672715482,2023-01-03T03:11:22Z,ANZ29,"29.989534,-95.336845",0,7,317
1672715492,2023-01-03T03:11:32Z,ANZ29,"29.989824,-95.336845",0,6,351
1672715499,2023-01-03T03:11:39Z,ANZ29,"29.990034,-95.336845",0,6,357
1672715558,2023-01-03T03:12:38Z,ANZ29,"29.990244,-95.336845",0,1,357
1672715573,2023-01-03T03:12:53Z,ANZ29,"29.990454,-95.336845",0,5,357
1672715582,2023-01-03T03:13:02Z,ANZ29,"29.990675,-95.336899",0,6,348
1672715590,2023-01-03T03:13:10Z,ANZ29,"29.990856,-95.33712",0,9,315
1672715595,2023-01-03T03:13:15Z,ANZ29,"29.990908,-95.337364",0,10,286
1672715599,2023-01-03T03:13:19Z,ANZ29,"29.990902,-95.337616",0,12,270
1672715602,2023-01-03T03:13:22Z,ANZ29,"29.990894,-95.33783",0,13,267
1672715606,2023-01-03T03:13:26Z,ANZ29,"29.990894,-95.338135",0,15,267
1672715609,2023-01-03T03:13:29Z,ANZ29,"29.990891,-95.338371",0,15,267
1672715611,2023-01-03T03:13:31Z,ANZ29,"29.990891,-95.338577",0,15,267
1672715615,2023-01-03T03:13:35Z,ANZ29,"29.990891,-95.338898",0,16,267
