Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672800957,2023-01-04T02:55:57Z,ANZ29,"29.988195,-95.331474",0,0,236
1672800981,2023-01-04T02:56:21Z,ANZ29,"29.988289,-95.331268",0,2,230
1672800999,2023-01-04T02:56:39Z,ANZ29,"29.988396,-95.331062",0,3,213
1672801022,2023-01-04T02:57:02Z,ANZ29,"29.988613,-95.330856",0,3,191
1672801042,2023-01-04T02:57:22Z,ANZ29,"29.988823,-95.330757",0,2,160
1672801064,2023-01-04T02:57:44Z,ANZ29,"29.989056,-95.330803",0,2,132
1672801089,2023-01-04T02:58:09Z,ANZ29,"29.989265,-95.330994",0,2,98
1672801107,2023-01-04T02:58:27Z,ANZ29,"29.989323,-95.3312",0,2,81
1672801127,2023-01-04T02:58:47Z,ANZ29,"29.989288,-95.331413",0,1,87
1672801637,2023-01-04T03:07:17Z,ANZ29,"29.989288,-95.331215",0,4,87
1672801645,2023-01-04T03:07:25Z,ANZ29,"29.989288,-95.33094",0,7,87
1672801653,2023-01-04T03:07:33Z,ANZ29,"29.989302,-95.33062",0,8,84
1672801658,2023-01-04T03:07:38Z,ANZ29,"29.989368,-95.330414",0,8,70
1672801664,2023-01-04T03:07:44Z,ANZ29,"29.989586,-95.330269",0,8,33
1672801670,2023-01-04T03:07:50Z,ANZ29,"29.989801,-95.330254",0,8,8
1672801676,2023-01-04T03:07:56Z,ANZ29,"29.990032,-95.330269",0,9,357
1672801681,2023-01-04T03:08:01Z,ANZ29,"29.990267,-95.330261",0,9,357
1672801687,2023-01-04T03:08:07Z,ANZ29,"29.990513,-95.330292",0,10,354
1672801695,2023-01-04T03:08:15Z,ANZ29,"29.990803,-95.330498",0,9,320
1672801701,2023-01-04T03:08:21Z,ANZ29,"29.990879,-95.33075",0,8,295
1672801706,2023-01-04T03:08:26Z,ANZ29,"29.990891,-95.330978",0,8,278
1672801712,2023-01-04T03:08:32Z,ANZ29,"29.990891,-95.331207",0,7,270
1672801720,2023-01-04T03:08:40Z,ANZ29,"29.990902,-95.331535",0,8,270
1672801726,2023-01-04T03:08:46Z,ANZ29,"29.990908,-95.331772",0,8,270
1672801732,2023-01-04T03:08:52Z,ANZ29,"29.990913,-95.332031",0,8,267
1672801737,2023-01-04T03:08:57Z,ANZ29,"29.990919,-95.332268",0,8,267
1672801745,2023-01-04T03:09:05Z,ANZ29,"29.990913,-95.332634",0,10,267
1672801751,2023-01-04T03:09:11Z,ANZ29,"29.990908,-95.332939",0,11,267
1672801758,2023-01-04T03:09:18Z,ANZ29,"29.990902,-95.333389",0,13,267
1672801763,2023-01-04T03:09:23Z,ANZ29,"29.990908,-95.333794",0,13,267
1672801769,2023-01-04T03:09:29Z,ANZ29,"29.990908,-95.33419",0,14,267
1672801775,2023-01-04T03:09:35Z,ANZ29,"29.990902,-95.334671",0,15,267
1672801781,2023-01-04T03:09:41Z,ANZ29,"29.990908,-95.335167",0,15,267
1672801787,2023-01-04T03:09:47Z,ANZ29,"29.990908,-95.335678",0,15,267
1672801794,2023-01-04T03:09:54Z,ANZ29,"29.990908,-95.336235",0,15,267
1672801801,2023-01-04T03:10:01Z,ANZ29,"29.990908,-95.3368",0,15,267
1672801809,2023-01-04T03:10:09Z,ANZ29,"29.990902,-95.337387",0,15,267
1672801816,2023-01-04T03:10:16Z,ANZ29,"29.990894,-95.33802",0,15,267
1672801823,2023-01-04T03:10:23Z,ANZ29,"29.990894,-95.338531",0,15,267
1672801828,2023-01-04T03:10:28Z,ANZ29,"29.990891,-95.338989",0,15,267
1672801834,2023-01-04T03:10:34Z,ANZ29,"29.990891,-95.3395",0,15,267
1672801841,2023-01-04T03:10:41Z,ANZ29,"29.990891,-95.34008",0,16,267
1672801848,2023-01-04T03:10:48Z,ANZ29,"29.990894,-95.340622",0,16,267
1672801857,2023-01-04T03:10:57Z,ANZ29,"29.990894,-95.341537",0,16,267
1672801864,2023-01-04T03:11:04Z,ANZ29,"29.990891,-95.342117",0,17,267
1672801871,2023-01-04T03:11:11Z,ANZ29,"29.990891,-95.342705",0,17,267
1672801876,2023-01-04T03:11:16Z,ANZ29,"29.990891,-95.343262",0,17,267
1672801882,2023-01-04T03:11:22Z,ANZ29,"29.990894,-95.343788",0,17,267
1672801889,2023-01-04T03:11:29Z,ANZ29,"29.990894,-95.344383",0,17,267
1672801895,2023-01-04T03:11:35Z,ANZ29,"29.990894,-95.344948",0,17,267
