Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673147048,2023-01-08T03:04:08Z,ANZ29,"29.988695,-95.336365",0,2,191
1673147071,2023-01-08T03:04:31Z,ANZ29,"29.988928,-95.336304",0,2,216
1673147091,2023-01-08T03:04:51Z,ANZ29,"29.989128,-95.336166",0,3,233
1673147116,2023-01-08T03:05:16Z,ANZ29,"29.989311,-95.335892",0,2,270
1673147132,2023-01-08T03:05:32Z,ANZ29,"29.989302,-95.335678",0,2,272
1673147389,2023-01-08T03:09:49Z,ANZ29,"29.989277,-95.335991",0,6,267
1673147396,2023-01-08T03:09:56Z,ANZ29,"29.989277,-95.33622",0,6,267
1673147406,2023-01-08T03:10:06Z,ANZ29,"29.989437,-95.336449",0,6,303
1673147415,2023-01-08T03:10:15Z,ANZ29,"29.989689,-95.336487",0,7,343
1673147422,2023-01-08T03:10:22Z,ANZ29,"29.989895,-95.336487",0,7,351
1673147430,2023-01-08T03:10:30Z,ANZ29,"29.990173,-95.336502",0,8,354
1673147436,2023-01-08T03:10:36Z,ANZ29,"29.990406,-95.336502",0,8,354
1673147444,2023-01-08T03:10:44Z,ANZ29,"29.990662,-95.336555",0,6,348
1673147458,2023-01-08T03:10:58Z,ANZ29,"29.990879,-95.3368",0,4,312
1673147465,2023-01-08T03:11:05Z,ANZ29,"29.990902,-95.337013",0,6,286
1673147473,2023-01-08T03:11:13Z,ANZ29,"29.990894,-95.33728",0,8,270
1673147477,2023-01-08T03:11:17Z,ANZ29,"29.990891,-95.337486",0,9,267
1673147481,2023-01-08T03:11:21Z,ANZ29,"29.990891,-95.337715",0,11,267
1673147485,2023-01-08T03:11:25Z,ANZ29,"29.990891,-95.337952",0,12,267
1673147489,2023-01-08T03:11:29Z,ANZ29,"29.990894,-95.338257",0,14,267
1673147491,2023-01-08T03:11:31Z,ANZ29,"29.990894,-95.338478",0,15,267
1673147498,2023-01-08T03:11:38Z,ANZ29,"29.990891,-95.339043",0,18,267
1673147504,2023-01-08T03:11:44Z,ANZ29,"29.990891,-95.339722",0,20,267
1673147509,2023-01-08T03:11:49Z,ANZ29,"29.990894,-95.340302",0,20,267
1673147515,2023-01-08T03:11:55Z,ANZ29,"29.990891,-95.340958",0,20,267
1673147521,2023-01-08T03:12:01Z,ANZ29,"29.990883,-95.341652",0,20,267
1673147528,2023-01-08T03:12:08Z,ANZ29,"29.990883,-95.342323",0,18,267
1673147534,2023-01-08T03:12:14Z,ANZ29,"29.990891,-95.342911",0,17,267
1673147540,2023-01-08T03:12:20Z,ANZ29,"29.990883,-95.343445",0,16,267
1673147546,2023-01-08T03:12:26Z,ANZ29,"29.990883,-95.343987",0,16,267
1673147552,2023-01-08T03:12:32Z,ANZ29,"29.990891,-95.344482",0,16,267
1673147558,2023-01-08T03:12:38Z,ANZ29,"29.990883,-95.345024",0,16,267
1673147564,2023-01-08T03:12:44Z,ANZ29,"29.990883,-95.345566",0,16,267
1673147570,2023-01-08T03:12:50Z,ANZ29,"29.990879,-95.3461",0,16,267
1673147576,2023-01-08T03:12:56Z,ANZ29,"29.990879,-95.346626",0,16,267
1673147583,2023-01-08T03:13:03Z,ANZ29,"29.990883,-95.347183",0,16,267
1673147589,2023-01-08T03:13:09Z,ANZ29,"29.990879,-95.347717",0,16,267
1673147596,2023-01-08T03:13:16Z,ANZ29,"29.990883,-95.348404",0,16,267
1673147604,2023-01-08T03:13:24Z,ANZ29,"29.990879,-95.349052",0,16,267
1673147610,2023-01-08T03:13:30Z,ANZ29,"29.990883,-95.34964",0,16,267
1673147618,2023-01-08T03:13:38Z,ANZ29,"29.990879,-95.350311",0,16,267
1673147623,2023-01-08T03:13:43Z,ANZ29,"29.990879,-95.3508",0,15,267
1673147630,2023-01-08T03:13:50Z,ANZ29,"29.990879,-95.351326",0,15,267
1673147636,2023-01-08T03:13:56Z,ANZ29,"29.990879,-95.351807",0,15,267
1673147648,2023-01-08T03:14:08Z,ANZ29,"29.990883,-95.352676",0,12,267
1673147654,2023-01-08T03:14:14Z,ANZ29,"29.990871,-95.353035",0,11,267
1673147671,2023-01-08T03:14:31Z,ANZ29,"29.990868,-95.354149",0,12,267
1673147677,2023-01-08T03:14:37Z,ANZ29,"29.990849,-95.354477",0,10,261
1673147694,2023-01-08T03:14:54Z,ANZ29,"29.990192,-95.354866",0,10,182
1673147699,2023-01-08T03:14:59Z,ANZ29,"29.989964,-95.354858",0,10,180
1673147706,2023-01-08T03:15:06Z,ANZ29,"29.989626,-95.354858",0,12,177
1673147712,2023-01-08T03:15:12Z,ANZ29,"29.989325,-95.354904",0,10,185
1673147735,2023-01-08T03:15:35Z,ANZ29,"29.988823,-95.355659",0,4,236
1673147836,2023-01-08T03:17:16Z,ANZ29,"29.988485,-95.356369",0,4,239
1673147968,2023-01-08T03:19:28Z,ANZ29,"29.987114,-95.357407",0,18,151
1673147976,2023-01-08T03:19:36Z,ANZ29,"29.985775,-95.356606",0,52,149
1673147982,2023-01-08T03:19:42Z,ANZ29,"29.983831,-95.355408",0,80,149
1673147995,2023-01-08T03:19:55Z,ANZ29,"29.978338,-95.352043",0,123,151
1673148000,2023-01-08T03:20:00Z,ANZ29,"29.975218,-95.350121",0,143,152
1673148007,2023-01-08T03:20:07Z,ANZ29,"29.971214,-95.347702",0,165,151
1673148016,2023-01-08T03:20:16Z,ANZ29,"29.964661,-95.343666",0,187,152
1673148022,2023-01-08T03:20:22Z,ANZ29,"29.959578,-95.340622",75,190,152
1673148028,2023-01-08T03:20:28Z,ANZ29,"29.954689,-95.337654",300,192,152
1673148036,2023-01-08T03:20:36Z,ANZ29,"29.948914,-95.334076",600,193,151
1673148042,2023-01-08T03:20:42Z,ANZ29,"29.944216,-95.330894",875,194,146
1673148044,2023-01-08T03:20:44Z,ANZ29,"29.942026,-95.329086",1000,194,142
1673148047,2023-01-08T03:20:47Z,ANZ29,"29.940033,-95.327133",1150,194,138
1673148048,2023-01-08T03:20:48Z,ANZ29,"29.939621,-95.326698",1150,194,138
