Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673233212,2023-01-09T03:00:12Z,ANZ29,"29.988235,-95.334282",0,0,177
1673233401,2023-01-09T03:03:21Z,ANZ29,"29.988441,-95.33429",0,3,177
1673233417,2023-01-09T03:03:37Z,ANZ29,"29.988661,-95.334312",0,3,188
1673233433,2023-01-09T03:03:53Z,ANZ29,"29.988871,-95.334305",0,3,205
1673233452,2023-01-09T03:04:12Z,ANZ29,"29.989105,-95.334175",0,3,230
1673233472,2023-01-09T03:04:32Z,ANZ29,"29.989288,-95.333969",0,2,267
1673233588,2023-01-09T03:06:28Z,ANZ29,"29.989288,-95.333763",0,0,267
1673233687,2023-01-09T03:08:07Z,ANZ29,"29.989277,-95.333969",0,3,267
1673233695,2023-01-09T03:08:15Z,ANZ29,"29.989277,-95.334183",0,5,267
1673233705,2023-01-09T03:08:25Z,ANZ29,"29.989277,-95.334496",0,6,267
1673233712,2023-01-09T03:08:32Z,ANZ29,"29.989277,-95.334755",0,7,267
1673233718,2023-01-09T03:08:38Z,ANZ29,"29.989277,-95.335037",0,9,267
1673233724,2023-01-09T03:08:44Z,ANZ29,"29.989277,-95.335304",0,9,267
1673233731,2023-01-09T03:08:51Z,ANZ29,"29.989277,-95.33564",0,10,267
1673233741,2023-01-09T03:09:01Z,ANZ29,"29.989265,-95.336166",0,9,267
1673233749,2023-01-09T03:09:09Z,ANZ29,"29.989429,-95.336472",0,8,300
1673233757,2023-01-09T03:09:17Z,ANZ29,"29.9897,-95.336525",0,8,340
1673233763,2023-01-09T03:09:23Z,ANZ29,"29.989964,-95.336517",0,9,357
1673233768,2023-01-09T03:09:28Z,ANZ29,"29.990185,-95.33651",0,11,357
1673233772,2023-01-09T03:09:32Z,ANZ29,"29.990395,-95.33651",0,12,357
1673233776,2023-01-09T03:09:36Z,ANZ29,"29.990627,-95.336525",0,11,354
1673233783,2023-01-09T03:09:43Z,ANZ29,"29.990871,-95.336731",0,9,320
1673233790,2023-01-09T03:09:50Z,ANZ29,"29.990925,-95.337029",0,8,284
1673233796,2023-01-09T03:09:56Z,ANZ29,"29.990908,-95.337311",0,9,267
1673233801,2023-01-09T03:10:01Z,ANZ29,"29.990902,-95.337524",0,9,267
1673233807,2023-01-09T03:10:07Z,ANZ29,"29.990894,-95.337814",0,9,267
1673233811,2023-01-09T03:10:11Z,ANZ29,"29.990891,-95.338051",0,10,267
1673233815,2023-01-09T03:10:15Z,ANZ29,"29.990894,-95.338287",0,10,267
1673233822,2023-01-09T03:10:22Z,ANZ29,"29.990891,-95.338631",0,9,267
1673233831,2023-01-09T03:10:31Z,ANZ29,"29.990891,-95.338898",0,2,267
1673233878,2023-01-09T03:11:18Z,ANZ29,"29.990894,-95.339134",0,5,267
1673233886,2023-01-09T03:11:26Z,ANZ29,"29.990894,-95.339424",0,8,267
1673233891,2023-01-09T03:11:31Z,ANZ29,"29.990894,-95.339699",0,10,267
1673233899,2023-01-09T03:11:39Z,ANZ29,"29.990894,-95.340195",0,13,267
1673233905,2023-01-09T03:11:45Z,ANZ29,"29.990891,-95.34066",0,15,267
1673233914,2023-01-09T03:11:54Z,ANZ29,"29.990891,-95.341415",0,16,267
1673233919,2023-01-09T03:11:59Z,ANZ29,"29.990891,-95.341904",0,16,267
1673233925,2023-01-09T03:12:05Z,ANZ29,"29.990894,-95.34243",0,16,267
1673233931,2023-01-09T03:12:11Z,ANZ29,"29.990894,-95.342941",0,16,267
1673233937,2023-01-09T03:12:17Z,ANZ29,"29.990891,-95.34346",0,16,267
1673233946,2023-01-09T03:12:26Z,ANZ29,"29.990883,-95.34433",0,16,267
1673233952,2023-01-09T03:12:32Z,ANZ29,"29.990883,-95.344864",0,16,267
