Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673320560,2023-01-10T03:16:00Z,ANZ29,"29.988253,-95.336029",0,0,143
1673320654,2023-01-10T03:17:34Z,ANZ29,"29.988462,-95.336212",0,2,157
1673320676,2023-01-10T03:17:56Z,ANZ29,"29.988684,-95.336349",0,2,180
1673320695,2023-01-10T03:18:15Z,ANZ29,"29.988894,-95.336365",0,2,202
1673320715,2023-01-10T03:18:35Z,ANZ29,"29.989103,-95.336296",0,2,230
1673320738,2023-01-10T03:18:58Z,ANZ29,"29.989277,-95.33609",0,2,267
1673320747,2023-01-10T03:19:07Z,ANZ29,"29.988731,-95.336365",0,1,267
1673320813,2023-01-10T03:20:13Z,ANZ29,"29.989277,-95.33596",0,0,267
1673320956,2023-01-10T03:22:36Z,ANZ29,"29.989277,-95.336235",0,5,267
1673320963,2023-01-10T03:22:43Z,ANZ29,"29.989277,-95.336449",0,7,267
1673320977,2023-01-10T03:22:57Z,ANZ29,"29.98954,-95.336853",0,8,317
1673320984,2023-01-10T03:23:04Z,ANZ29,"29.989803,-95.336876",0,7,348
1673320991,2023-01-10T03:23:11Z,ANZ29,"29.990034,-95.336868",0,8,357
1673320996,2023-01-10T03:23:16Z,ANZ29,"29.99025,-95.336868",0,9,357
1673321001,2023-01-10T03:23:21Z,ANZ29,"29.990454,-95.336868",0,9,357
1673321008,2023-01-10T03:23:28Z,ANZ29,"29.990686,-95.336868",0,7,357
1673321020,2023-01-10T03:23:40Z,ANZ29,"29.990913,-95.337173",0,6,300
1673321028,2023-01-10T03:23:48Z,ANZ29,"29.990908,-95.337402",0,6,275
1673321033,2023-01-10T03:23:53Z,ANZ29,"29.990891,-95.337608",0,8,270
1673321038,2023-01-10T03:23:58Z,ANZ29,"29.990894,-95.337845",0,9,267
1673321043,2023-01-10T03:24:03Z,ANZ29,"29.990894,-95.338089",0,11,267
1673321047,2023-01-10T03:24:07Z,ANZ29,"29.990902,-95.338356",0,12,267
1673321051,2023-01-10T03:24:11Z,ANZ29,"29.990894,-95.338615",0,13,267
1673321054,2023-01-10T03:24:14Z,ANZ29,"29.990891,-95.338844",0,14,267
1673321062,2023-01-10T03:24:22Z,ANZ29,"29.990894,-95.339508",0,16,267
1673321071,2023-01-10T03:24:31Z,ANZ29,"29.990894,-95.340332",0,18,267
1673321077,2023-01-10T03:24:37Z,ANZ29,"29.990891,-95.340942",0,19,267
1673321085,2023-01-10T03:24:45Z,ANZ29,"29.990894,-95.341705",0,19,267
1673321091,2023-01-10T03:24:51Z,ANZ29,"29.990894,-95.342361",0,19,267
1673321097,2023-01-10T03:24:57Z,ANZ29,"29.990891,-95.342987",0,19,267
1673321104,2023-01-10T03:25:04Z,ANZ29,"29.990891,-95.343666",0,19,267
1673321109,2023-01-10T03:25:09Z,ANZ29,"29.990891,-95.344254",0,19,267
1673321115,2023-01-10T03:25:15Z,ANZ29,"29.990891,-95.344879",0,19,267
1673321121,2023-01-10T03:25:21Z,ANZ29,"29.990891,-95.345482",0,19,267
1673321129,2023-01-10T03:25:29Z,ANZ29,"29.990883,-95.346252",0,19,267
1673321135,2023-01-10T03:25:35Z,ANZ29,"29.990891,-95.346878",0,19,267
1673321141,2023-01-10T03:25:41Z,ANZ29,"29.990883,-95.347511",0,19,267
1673321146,2023-01-10T03:25:46Z,ANZ29,"29.990891,-95.348053",0,19,267
1673321156,2023-01-10T03:25:56Z,ANZ29,"29.990894,-95.349052",0,19,267
1673321164,2023-01-10T03:26:04Z,ANZ29,"29.990883,-95.34993",0,19,267
1673321174,2023-01-10T03:26:14Z,ANZ29,"29.990891,-95.350975",0,19,267
1673321180,2023-01-10T03:26:20Z,ANZ29,"29.990891,-95.351517",0,17,267
1673321185,2023-01-10T03:26:25Z,ANZ29,"29.990883,-95.352005",0,15,267
1673321191,2023-01-10T03:26:31Z,ANZ29,"29.990883,-95.35244",0,15,267
1673321203,2023-01-10T03:26:43Z,ANZ29,"29.990879,-95.353477",0,15,267
1673321211,2023-01-10T03:26:51Z,ANZ29,"29.990883,-95.354118",0,14,267
1673321218,2023-01-10T03:26:58Z,ANZ29,"29.99086,-95.354561",0,12,261
1673321226,2023-01-10T03:27:06Z,ANZ29,"29.990513,-95.354866",0,11,208
1673321233,2023-01-10T03:27:13Z,ANZ29,"29.990185,-95.354874",0,10,182
1673321243,2023-01-10T03:27:23Z,ANZ29,"29.989723,-95.354866",0,9,177
1673321256,2023-01-10T03:27:36Z,ANZ29,"29.989208,-95.354973",0,9,196
1673321290,2023-01-10T03:28:10Z,ANZ29,"29.988533,-95.356277",0,7,239
1673321305,2023-01-10T03:28:25Z,ANZ29,"29.988304,-95.356766",0,8,239
1673321350,2023-01-10T03:29:10Z,ANZ29,"29.987492,-95.357651",0,3,160
1673321363,2023-01-10T03:29:23Z,ANZ29,"29.987253,-95.357513",0,5,151
1673321376,2023-01-10T03:29:36Z,ANZ29,"29.986702,-95.357178",0,20,149
1673321383,2023-01-10T03:29:43Z,ANZ29,"29.9856,-95.356491",0,49,149
1673321388,2023-01-10T03:29:48Z,ANZ29,"29.984158,-95.355614",0,74,149
1673321402,2023-01-10T03:30:02Z,ANZ29,"29.978943,-95.352432",0,119,151
1673321407,2023-01-10T03:30:07Z,ANZ29,"29.975464,-95.350288",0,139,151
1673321414,2023-01-10T03:30:14Z,ANZ29,"29.971214,-95.347702",0,158,151
1673321420,2023-01-10T03:30:20Z,ANZ29,"29.966932,-95.34507",0,178,152
1673321426,2023-01-10T03:30:26Z,ANZ29,"29.962835,-95.342545",0,187,152
1673321432,2023-01-10T03:30:32Z,ANZ29,"29.957623,-95.339409",200,188,152
1673321439,2023-01-10T03:30:39Z,ANZ29,"29.95278,-95.336502",425,188,152
1673321445,2023-01-10T03:30:45Z,ANZ29,"29.948172,-95.333694",700,188,151
1673321451,2023-01-10T03:30:51Z,ANZ29,"29.943237,-95.330124",950,189,148
1673321453,2023-01-10T03:30:53Z,ANZ29,"29.942259,-95.329193",1000,191,142
1673321455,2023-01-10T03:30:55Z,ANZ29,"29.940536,-95.32756",1075,192,141
1673321456,2023-01-10T03:30:56Z,ANZ29,"29.940125,-95.327133",1100,194,138
1673321458,2023-01-10T03:30:58Z,ANZ29,"29.938522,-95.325409",1150,196,137
1673321459,2023-01-10T03:30:59Z,ANZ29,"29.937607,-95.324333",1175,200,133
1673321461,2023-01-10T03:31:01Z,ANZ29,"29.936737,-95.32325",1200,196,137
1673321464,2023-01-10T03:31:04Z,ANZ29,"29.935638,-95.321747",1250,196,137
1673321468,2023-01-10T03:31:08Z,ANZ29,"29.932577,-95.316887",1300,214,123
1673321469,2023-01-10T03:31:09Z,ANZ29,"29.932251,-95.316284",1325,216,122
1673321471,2023-01-10T03:31:11Z,ANZ29,"29.930923,-95.313828",1350,220,121
1673321473,2023-01-10T03:31:13Z,ANZ29,"29.930054,-95.312157",1375,224,121
1673321475,2023-01-10T03:31:15Z,ANZ29,"29.929321,-95.31076",1400,225,121
1673321476,2023-01-10T03:31:16Z,ANZ29,"29.92848,-95.309143",1425,224,121
1673321477,2023-01-10T03:31:17Z,ANZ29,"29.927921,-95.308098",1425,230,121
1673321481,2023-01-10T03:31:21Z,ANZ29,"29.925407,-95.303482",1500,235,122
1673321484,2023-01-10T03:31:24Z,ANZ29,"29.923592,-95.300301",1550,238,122
1673321485,2023-01-10T03:31:25Z,ANZ29,"29.92305,-95.299286",1550,238,122
1673321488,2023-01-10T03:31:28Z,ANZ29,"29.921171,-95.295959",1600,244,122
1673321491,2023-01-10T03:31:31Z,ANZ29,"29.91931,-95.29261",1650,246,122
1673321498,2023-01-10T03:31:38Z,ANZ29,"29.91481,-95.284744",1875,249,123
1673321504,2023-01-10T03:31:44Z,ANZ29,"29.910931,-95.277962",2125,250,123
1673321510,2023-01-10T03:31:50Z,ANZ29,"29.907112,-95.271179",2300,254,123
1673321516,2023-01-10T03:31:56Z,ANZ29,"29.903183,-95.264404",2450,259,123
1673321522,2023-01-10T03:32:02Z,ANZ29,"29.899199,-95.2575",2575,265,123
1673321528,2023-01-10T03:32:08Z,ANZ29,"29.894989,-95.250252",2800,269,123
1673321534,2023-01-10T03:32:14Z,ANZ29,"29.890774,-95.243011",3025,270,123
1673321540,2023-01-10T03:32:20Z,ANZ29,"29.886351,-95.235527",3250,272,124
1673321546,2023-01-10T03:32:26Z,ANZ29,"29.882172,-95.228439",3475,275,124
1673321552,2023-01-10T03:32:32Z,ANZ29,"29.877731,-95.221199",3675,276,125
1673321558,2023-01-10T03:32:38Z,ANZ29,"29.873062,-95.213699",3900,279,125
1673321566,2023-01-10T03:32:46Z,ANZ29,"29.867544,-95.20488",4150,280,126
1673321571,2023-01-10T03:32:51Z,ANZ29,"29.863129,-95.198013",4375,282,126
1673321578,2023-01-10T03:32:58Z,ANZ29,"29.858185,-95.190193",4600,283,125
1673321584,2023-01-10T03:33:04Z,ANZ29,"29.854277,-95.183876",4825,285,125
1673321589,2023-01-10T03:33:09Z,ANZ29,"29.84903,-95.175613",5025,287,125
1673321602,2023-01-10T03:33:22Z,ANZ29,"29.839472,-95.1604",5525,287,125
1673321613,2023-01-10T03:33:33Z,ANZ29,"29.831884,-95.148552",5925,288,127
1673321625,2023-01-10T03:33:45Z,ANZ29,"29.820007,-95.133575",6350,290,137
1673321628,2023-01-10T03:33:48Z,ANZ29,"29.816801,-95.130508",6450,291,140
1673321631,2023-01-10T03:33:51Z,ANZ29,"29.813776,-95.127922",6525,292,144
1673321634,2023-01-10T03:33:54Z,ANZ29,"29.809586,-95.124962",6600,293,149
1673321637,2023-01-10T03:33:57Z,ANZ29,"29.805908,-95.122864",6675,294,154
1673321640,2023-01-10T03:34:00Z,ANZ29,"29.8022,-95.121216",6750,294,159
1673321643,2023-01-10T03:34:03Z,ANZ29,"29.798264,-95.119896",6825,295,164
1673321646,2023-01-10T03:34:06Z,ANZ29,"29.794085,-95.11898",6925,295,169
1673321649,2023-01-10T03:34:09Z,ANZ29,"29.790825,-95.118607",7000,296,174
1673321652,2023-01-10T03:34:12Z,ANZ29,"29.786123,-95.118393",7075,297,178
1673321655,2023-01-10T03:34:15Z,ANZ29,"29.781876,-95.118469",7150,297,182
1673321658,2023-01-10T03:34:18Z,ANZ29,"29.777325,-95.119034",7250,297,186
1673321661,2023-01-10T03:34:21Z,ANZ29,"29.773956,-95.119736",7325,297,190
1673321664,2023-01-10T03:34:24Z,ANZ29,"29.76915,-95.121216",7450,296,195
1673321667,2023-01-10T03:34:27Z,ANZ29,"29.765808,-95.122589",7575,294,200
1673321670,2023-01-10T03:34:30Z,ANZ29,"29.76173,-95.124748",7700,293,205
1673321673,2023-01-10T03:34:33Z,ANZ29,"29.758301,-95.126968",7800,291,211
1673321676,2023-01-10T03:34:36Z,ANZ29,"29.755074,-95.129486",7925,292,214
