Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673405528,2023-01-11T02:52:08Z,ANZ29,"29.988485,-95.336212",0,2,151
1673405550,2023-01-11T02:52:30Z,ANZ29,"29.988707,-95.336372",0,2,171
1673405570,2023-01-11T02:52:50Z,ANZ29,"29.988934,-95.336449",0,3,208
1673405589,2023-01-11T02:53:09Z,ANZ29,"29.989151,-95.336349",0,3,239
1673405610,2023-01-11T02:53:30Z,ANZ29,"29.989277,-95.336143",0,2,270
1673405621,2023-01-11T02:53:41Z,ANZ29,"29.988544,-95.336258",0,2,270
1673405649,2023-01-11T02:54:09Z,ANZ29,"29.989265,-95.335892",0,0,270
1673405870,2023-01-11T02:57:50Z,ANZ29,"29.989277,-95.335892",0,0,270
1673405897,2023-01-11T02:58:17Z,ANZ29,"29.989277,-95.336098",0,4,270
1673405909,2023-01-11T02:58:29Z,ANZ29,"29.989313,-95.336372",0,5,278
1673405918,2023-01-11T02:58:38Z,ANZ29,"29.98954,-95.336502",0,5,320
1673405926,2023-01-11T02:58:46Z,ANZ29,"29.989742,-95.33651",0,6,345
1673405934,2023-01-11T02:58:54Z,ANZ29,"29.989964,-95.336502",0,6,357
1673405941,2023-01-11T02:59:01Z,ANZ29,"29.99017,-95.336517",0,7,357
1673405947,2023-01-11T02:59:07Z,ANZ29,"29.990387,-95.336517",0,8,357
1673405953,2023-01-11T02:59:13Z,ANZ29,"29.990616,-95.336525",0,7,354
1673405967,2023-01-11T02:59:27Z,ANZ29,"29.990845,-95.336731",0,3,320
1673405977,2023-01-11T02:59:37Z,ANZ29,"29.990894,-95.336967",0,5,292
1673405985,2023-01-11T02:59:45Z,ANZ29,"29.990879,-95.337189",0,6,272
1673405990,2023-01-11T02:59:50Z,ANZ29,"29.990891,-95.337402",0,7,270
1673405997,2023-01-11T02:59:57Z,ANZ29,"29.990891,-95.337662",0,7,267
1673406003,2023-01-11T03:00:03Z,ANZ29,"29.990891,-95.337891",0,8,267
1673406010,2023-01-11T03:00:10Z,ANZ29,"29.990891,-95.338158",0,8,267
1673406016,2023-01-11T03:00:16Z,ANZ29,"29.990883,-95.338432",0,8,267
1673406023,2023-01-11T03:00:23Z,ANZ29,"29.990891,-95.338722",0,8,267
1673406033,2023-01-11T03:00:33Z,ANZ29,"29.990891,-95.339157",0,8,267
1673406038,2023-01-11T03:00:38Z,ANZ29,"29.990891,-95.339409",0,9,267
1673406044,2023-01-11T03:00:44Z,ANZ29,"29.990891,-95.339691",0,9,267
1673406052,2023-01-11T03:00:52Z,ANZ29,"29.990891,-95.340057",0,10,267
1673406058,2023-01-11T03:00:58Z,ANZ29,"29.990883,-95.340401",0,11,267
1673406065,2023-01-11T03:01:05Z,ANZ29,"29.990879,-95.34082",0,12,267
1673406071,2023-01-11T03:01:11Z,ANZ29,"29.990879,-95.34124",0,13,267
1673406077,2023-01-11T03:01:17Z,ANZ29,"29.990879,-95.341629",0,13,267
1673406082,2023-01-11T03:01:22Z,ANZ29,"29.990883,-95.342033",0,13,267
1673406089,2023-01-11T03:01:29Z,ANZ29,"29.990883,-95.342484",0,13,267
1673406095,2023-01-11T03:01:35Z,ANZ29,"29.990891,-95.342873",0,13,267
1673406102,2023-01-11T03:01:42Z,ANZ29,"29.990883,-95.343376",0,13,267
1673406107,2023-01-11T03:01:47Z,ANZ29,"29.990879,-95.343788",0,13,267
1673406116,2023-01-11T03:01:56Z,ANZ29,"29.990871,-95.344398",0,13,267
1673406122,2023-01-11T03:02:02Z,ANZ29,"29.990879,-95.344818",0,13,267
1673406128,2023-01-11T03:02:08Z,ANZ29,"29.990871,-95.345276",0,14,267
1673406137,2023-01-11T03:02:17Z,ANZ29,"29.990879,-95.34594",0,14,267
1673406143,2023-01-11T03:02:23Z,ANZ29,"29.990879,-95.346382",0,14,267
1673406149,2023-01-11T03:02:29Z,ANZ29,"29.990871,-95.346825",0,14,267
1673406156,2023-01-11T03:02:36Z,ANZ29,"29.990868,-95.347275",0,14,267
1673406161,2023-01-11T03:02:41Z,ANZ29,"29.990868,-95.347687",0,14,267
1673406167,2023-01-11T03:02:47Z,ANZ29,"29.990868,-95.348106",0,14,267
1673406177,2023-01-11T03:02:57Z,ANZ29,"29.990871,-95.348915",0,14,267
1673406187,2023-01-11T03:03:07Z,ANZ29,"29.990883,-95.34964",0,14,267
1673406194,2023-01-11T03:03:14Z,ANZ29,"29.990871,-95.350136",0,14,267
1673406203,2023-01-11T03:03:23Z,ANZ29,"29.990879,-95.350883",0,14,267
1673406210,2023-01-11T03:03:30Z,ANZ29,"29.990871,-95.351387",0,15,267
1673406219,2023-01-11T03:03:39Z,ANZ29,"29.990868,-95.352089",0,15,267
1673406234,2023-01-11T03:03:54Z,ANZ29,"29.990868,-95.353142",0,12,267
1673406240,2023-01-11T03:04:00Z,ANZ29,"29.990871,-95.353569",0,12,267
1673406249,2023-01-11T03:04:09Z,ANZ29,"29.990871,-95.354134",0,11,267
1673406255,2023-01-11T03:04:15Z,ANZ29,"29.990871,-95.354431",0,9,267
1673406260,2023-01-11T03:04:20Z,ANZ29,"29.990778,-95.354668",0,9,247
1673406269,2023-01-11T03:04:29Z,ANZ29,"29.990465,-95.354858",0,9,205
1673406278,2023-01-11T03:04:38Z,ANZ29,"29.990139,-95.354874",0,8,180
1673406289,2023-01-11T03:04:49Z,ANZ29,"29.989758,-95.354866",0,8,177
