Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673579923,2023-01-13T03:18:43Z,ANZ29,"29.988253,-95.336021",0,0,143
1673579953,2023-01-13T03:19:13Z,ANZ29,"29.988453,-95.336235",0,3,154
1673579976,2023-01-13T03:19:36Z,ANZ29,"29.988682,-95.336365",0,3,185
1673579993,2023-01-13T03:19:53Z,ANZ29,"29.988882,-95.336388",0,3,210
1673580011,2023-01-13T03:20:11Z,ANZ29,"29.989094,-95.336258",0,3,233
1673580034,2023-01-13T03:20:34Z,ANZ29,"29.989277,-95.335991",0,2,267
1673580045,2023-01-13T03:20:45Z,ANZ29,"29.988497,-95.336281",0,2,267
1673580169,2023-01-13T03:22:49Z,ANZ29,"29.989277,-95.335823",0,0,267
1673580309,2023-01-13T03:25:09Z,ANZ29,"29.989277,-95.336044",0,3,267
1673580325,2023-01-13T03:25:25Z,ANZ29,"29.989323,-95.336311",0,3,278
1673580342,2023-01-13T03:25:42Z,ANZ29,"29.98958,-95.336502",0,4,323
1673580351,2023-01-13T03:25:51Z,ANZ29,"29.989801,-95.336502",0,5,348
1673580360,2023-01-13T03:26:00Z,ANZ29,"29.990034,-95.33651",0,7,354
1673580365,2023-01-13T03:26:05Z,ANZ29,"29.990238,-95.336517",0,9,357
1673580370,2023-01-13T03:26:10Z,ANZ29,"29.99044,-95.336525",0,10,357
1673580376,2023-01-13T03:26:16Z,ANZ29,"29.990698,-95.336578",0,8,345
1673580383,2023-01-13T03:26:23Z,ANZ29,"29.990871,-95.336784",0,7,315
1673580389,2023-01-13T03:26:29Z,ANZ29,"29.990908,-95.337006",0,8,289
1673580396,2023-01-13T03:26:36Z,ANZ29,"29.990908,-95.337311",0,8,270
1673580401,2023-01-13T03:26:41Z,ANZ29,"29.990902,-95.337563",0,10,270
1673580405,2023-01-13T03:26:45Z,ANZ29,"29.990902,-95.337807",0,11,267
1673580409,2023-01-13T03:26:49Z,ANZ29,"29.990902,-95.33802",0,12,267
1673580412,2023-01-13T03:26:52Z,ANZ29,"29.990908,-95.338226",0,12,267
1673580417,2023-01-13T03:26:57Z,ANZ29,"29.990902,-95.338585",0,13,267
1673580423,2023-01-13T03:27:03Z,ANZ29,"29.990902,-95.338966",0,14,267
1673580429,2023-01-13T03:27:09Z,ANZ29,"29.990894,-95.339462",0,15,267
1673580435,2023-01-13T03:27:15Z,ANZ29,"29.990902,-95.339973",0,16,267
1673580441,2023-01-13T03:27:21Z,ANZ29,"29.990902,-95.3405",0,16,267
1673580448,2023-01-13T03:27:28Z,ANZ29,"29.990891,-95.341103",0,16,267
1673580454,2023-01-13T03:27:34Z,ANZ29,"29.990894,-95.341652",0,16,267
1673580459,2023-01-13T03:27:39Z,ANZ29,"29.990894,-95.342155",0,16,267
1673580466,2023-01-13T03:27:46Z,ANZ29,"29.990891,-95.34272",0,16,267
1673580471,2023-01-13T03:27:51Z,ANZ29,"29.990894,-95.343231",0,16,267
1673580479,2023-01-13T03:27:59Z,ANZ29,"29.990894,-95.343903",0,16,267
1673580485,2023-01-13T03:28:05Z,ANZ29,"29.990894,-95.344467",0,17,267
1673580491,2023-01-13T03:28:11Z,ANZ29,"29.990894,-95.344986",0,17,267
1673580497,2023-01-13T03:28:17Z,ANZ29,"29.990883,-95.345551",0,16,267
1673580504,2023-01-13T03:28:24Z,ANZ29,"29.990879,-95.346191",0,17,267
1673580510,2023-01-13T03:28:30Z,ANZ29,"29.990879,-95.346733",0,17,267
1673580516,2023-01-13T03:28:36Z,ANZ29,"29.990891,-95.347282",0,17,267
1673580523,2023-01-13T03:28:43Z,ANZ29,"29.990894,-95.347954",0,17,267
1673580532,2023-01-13T03:28:52Z,ANZ29,"29.990891,-95.34874",0,17,267
1673580539,2023-01-13T03:28:59Z,ANZ29,"29.990891,-95.349335",0,17,267
1673580545,2023-01-13T03:29:05Z,ANZ29,"29.990891,-95.349937",0,17,267
1673580550,2023-01-13T03:29:10Z,ANZ29,"29.990883,-95.350441",0,17,267
1673580559,2023-01-13T03:29:19Z,ANZ29,"29.990883,-95.35125",0,17,267
1673580565,2023-01-13T03:29:25Z,ANZ29,"29.990883,-95.351799",0,17,267
1673580570,2023-01-13T03:29:30Z,ANZ29,"29.990883,-95.352333",0,17,267
1673580578,2023-01-13T03:29:38Z,ANZ29,"29.990891,-95.353088",0,16,267
1673580585,2023-01-13T03:29:45Z,ANZ29,"29.990883,-95.353622",0,15,267
1673580591,2023-01-13T03:29:51Z,ANZ29,"29.990883,-95.354103",0,13,267
1673580597,2023-01-13T03:29:57Z,ANZ29,"29.990856,-95.354446",0,10,261
1673580609,2023-01-13T03:30:09Z,ANZ29,"29.99044,-95.354858",0,10,205
1673580614,2023-01-13T03:30:14Z,ANZ29,"29.990208,-95.354874",0,9,185
1673580620,2023-01-13T03:30:20Z,ANZ29,"29.989952,-95.354881",0,9,180
1673580625,2023-01-13T03:30:25Z,ANZ29,"29.989742,-95.354889",0,9,180
1673580660,2023-01-13T03:31:00Z,ANZ29,"29.988579,-95.355942",0,9,219
1673580695,2023-01-13T03:31:35Z,ANZ29,"29.986748,-95.355057",0,16,149
1673580710,2023-01-13T03:31:50Z,ANZ29,"29.985649,-95.354378",0,19,149
1673580716,2023-01-13T03:31:56Z,ANZ29,"29.985157,-95.35408",0,18,149
1673580722,2023-01-13T03:32:02Z,ANZ29,"29.984711,-95.353813",0,18,149
1673580728,2023-01-13T03:32:08Z,ANZ29,"29.984276,-95.353546",0,18,149
1673580734,2023-01-13T03:32:14Z,ANZ29,"29.983772,-95.353233",0,18,149
1673580741,2023-01-13T03:32:21Z,ANZ29,"29.983234,-95.352913",0,19,149
1673580750,2023-01-13T03:32:30Z,ANZ29,"29.982536,-95.352486",0,19,149
1673580757,2023-01-13T03:32:37Z,ANZ29,"29.981956,-95.352127",0,19,149
1673580766,2023-01-13T03:32:46Z,ANZ29,"29.981186,-95.351646",0,20,149
1673580772,2023-01-13T03:32:52Z,ANZ29,"29.980724,-95.351357",0,20,149
1673580778,2023-01-13T03:32:58Z,ANZ29,"29.980165,-95.351028",0,21,149
1673580784,2023-01-13T03:33:04Z,ANZ29,"29.979618,-95.350685",0,21,149
