Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673751044,2023-01-15T02:50:44Z,ANZ29,"29.988396,-95.336136",0,2,143
1673751067,2023-01-15T02:51:07Z,ANZ29,"29.988602,-95.336327",0,2,163
1673751087,2023-01-15T02:51:27Z,ANZ29,"29.988811,-95.336433",0,2,188
1673751107,2023-01-15T02:51:47Z,ANZ29,"29.989044,-95.336433",0,3,222
1673751129,2023-01-15T02:52:09Z,ANZ29,"29.989254,-95.336235",0,2,258
1673751149,2023-01-15T02:52:29Z,ANZ29,"29.989277,-95.336029",0,1,270
1673751155,2023-01-15T02:52:35Z,ANZ29,"29.98844,-95.336182",0,1,270
1673751404,2023-01-15T02:56:44Z,ANZ29,"29.989277,-95.335976",0,0,270
1673751424,2023-01-15T02:57:04Z,ANZ29,"29.989277,-95.336182",0,3,270
1673751437,2023-01-15T02:57:17Z,ANZ29,"29.989382,-95.336403",0,6,292
1673751445,2023-01-15T02:57:25Z,ANZ29,"29.989637,-95.336487",0,6,334
1673751453,2023-01-15T02:57:33Z,ANZ29,"29.989838,-95.336502",0,6,348
1673751461,2023-01-15T02:57:41Z,ANZ29,"29.990055,-95.336502",0,4,354
1673751550,2023-01-15T02:59:10Z,ANZ29,"29.990255,-95.33651",0,4,357
1673751557,2023-01-15T02:59:17Z,ANZ29,"29.990479,-95.336517",0,7,357
1673751564,2023-01-15T02:59:24Z,ANZ29,"29.990709,-95.336609",0,7,340
1673751572,2023-01-15T02:59:32Z,ANZ29,"29.990849,-95.336815",0,6,312
1673751580,2023-01-15T02:59:40Z,ANZ29,"29.990894,-95.337051",0,7,289
1673751587,2023-01-15T02:59:47Z,ANZ29,"29.990902,-95.337326",0,8,272
1673751592,2023-01-15T02:59:52Z,ANZ29,"29.990902,-95.337578",0,10,270
1673751596,2023-01-15T02:59:56Z,ANZ29,"29.990902,-95.337822",0,12,267
1673751599,2023-01-15T02:59:59Z,ANZ29,"29.990908,-95.338036",0,13,267
1673751602,2023-01-15T03:00:02Z,ANZ29,"29.990902,-95.338295",0,14,267
1673751608,2023-01-15T03:00:08Z,ANZ29,"29.990902,-95.338776",0,15,267
1673751616,2023-01-15T03:00:16Z,ANZ29,"29.990902,-95.339447",0,16,267
1673751622,2023-01-15T03:00:22Z,ANZ29,"29.990902,-95.339935",0,16,267
1673751628,2023-01-15T03:00:28Z,ANZ29,"29.990908,-95.340523",0,16,267
1673751634,2023-01-15T03:00:34Z,ANZ29,"29.990894,-95.341034",0,16,267
1673751640,2023-01-15T03:00:40Z,ANZ29,"29.990894,-95.341621",0,17,267
1673751646,2023-01-15T03:00:46Z,ANZ29,"29.990894,-95.342133",0,17,267
1673751652,2023-01-15T03:00:52Z,ANZ29,"29.990902,-95.342705",0,17,267
1673751658,2023-01-15T03:00:58Z,ANZ29,"29.990894,-95.343239",0,17,267
1673751664,2023-01-15T03:01:04Z,ANZ29,"29.990902,-95.343849",0,17,267
1673751670,2023-01-15T03:01:10Z,ANZ29,"29.990902,-95.344406",0,17,267
1673751676,2023-01-15T03:01:16Z,ANZ29,"29.990891,-95.344902",0,17,267
1673751682,2023-01-15T03:01:22Z,ANZ29,"29.990891,-95.345497",0,17,267
1673751689,2023-01-15T03:01:29Z,ANZ29,"29.990891,-95.346153",0,17,267
