Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672630085,2023-01-02T03:28:05Z,SIA23,"40.644173,-73.780045",0,0,230
1672630163,2023-01-02T03:29:23Z,SIA23,"40.644386,-73.779839",0,3,244
1672630182,2023-01-02T03:29:42Z,SIA23,"40.644539,-73.779617",0,3,267
1672630192,2023-01-02T03:29:52Z,SIA23,"40.644573,-73.779404",0,4,278
1672630200,2023-01-02T03:30:00Z,SIA23,"40.644573,-73.779175",0,5,284
1672630207,2023-01-02T03:30:07Z,SIA23,"40.644539,-73.778946",0,6,284
1672630214,2023-01-02T03:30:14Z,SIA23,"40.644505,-73.778717",0,5,286
1672630222,2023-01-02T03:30:22Z,SIA23,"40.64447,-73.778503",0,4,292
1672630232,2023-01-02T03:30:32Z,SIA23,"40.644413,-73.77829",0,4,295
1672630241,2023-01-02T03:30:41Z,SIA23,"40.644363,-73.778076",0,4,300
1672630253,2023-01-02T03:30:53Z,SIA23,"40.644264,-73.777847",0,3,303
1672630548,2023-01-02T03:35:48Z,SIA23,"40.644161,-73.777618",0,3,309
1672630562,2023-01-02T03:36:02Z,SIA23,"40.644051,-73.777405",0,4,312
1672630574,2023-01-02T03:36:14Z,SIA23,"40.643887,-73.777145",0,6,320
1672630583,2023-01-02T03:36:23Z,SIA23,"40.643703,-73.776917",0,6,329
1672630591,2023-01-02T03:36:31Z,SIA23,"40.643486,-73.776733",0,6,331
1672630599,2023-01-02T03:36:39Z,SIA23,"40.64328,-73.776596",0,7,331
1672630608,2023-01-02T03:36:48Z,SIA23,"40.643063,-73.776428",0,7,331
1672630616,2023-01-02T03:36:56Z,SIA23,"40.642845,-73.77626",0,7,331
1672630624,2023-01-02T03:37:04Z,SIA23,"40.642616,-73.776108",0,6,331
1672630632,2023-01-02T03:37:12Z,SIA23,"40.642399,-73.775955",0,7,331
1672630640,2023-01-02T03:37:20Z,SIA23,"40.642174,-73.775803",0,7,331
1672630648,2023-01-02T03:37:28Z,SIA23,"40.641964,-73.775658",0,7,329
1672630655,2023-01-02T03:37:35Z,SIA23,"40.641758,-73.775497",0,7,331
1672630665,2023-01-02T03:37:45Z,SIA23,"40.641552,-73.775284",0,6,345
1672630674,2023-01-02T03:37:54Z,SIA23,"40.64135,-73.775177",0,5,354
1672630683,2023-01-02T03:38:03Z,SIA23,"40.641129,-73.775063",0,5,11
1672630694,2023-01-02T03:38:14Z,SIA23,"40.640923,-73.77507",0,5,28
1672630704,2023-01-02T03:38:24Z,SIA23,"40.64072,-73.775208",0,5,30
1672631003,2023-01-02T03:43:23Z,SIA23,"40.640923,-73.77504",0,6,30
1672631012,2023-01-02T03:43:32Z,SIA23,"40.64101,-73.774788",0,5,53
