Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672716541,2023-01-03T03:29:01Z,SIA23,"40.644165,-73.780045",0,0,230
1672716820,2023-01-03T03:33:40Z,SIA23,"40.644375,-73.779854",0,1,241
1672716858,2023-01-03T03:34:18Z,SIA23,"40.644527,-73.77964",0,1,267
1672716876,2023-01-03T03:34:36Z,SIA23,"40.644562,-73.779434",0,2,272
1672716893,2023-01-03T03:34:53Z,SIA23,"40.644562,-73.779221",0,3,278
1672716905,2023-01-03T03:35:05Z,SIA23,"40.644562,-73.779007",0,3,281
1672716919,2023-01-03T03:35:19Z,SIA23,"40.644539,-73.778778",0,3,286
1672716932,2023-01-03T03:35:32Z,SIA23,"40.644505,-73.778564",0,3,289
1672716942,2023-01-03T03:35:42Z,SIA23,"40.644455,-73.778358",0,3,292
1672716955,2023-01-03T03:35:55Z,SIA23,"40.644398,-73.778122",0,3,300
1672716972,2023-01-03T03:36:12Z,SIA23,"40.64431,-73.777908",0,4,303
1672716983,2023-01-03T03:36:23Z,SIA23,"40.644211,-73.777702",0,4,306
1672716994,2023-01-03T03:36:34Z,SIA23,"40.644108,-73.777481",0,4,306
1672717005,2023-01-03T03:36:45Z,SIA23,"40.644039,-73.777267",0,3,320
1672717019,2023-01-03T03:36:59Z,SIA23,"40.643875,-73.777061",0,4,331
1672717032,2023-01-03T03:37:12Z,SIA23,"40.643658,-73.776901",0,4,329
1672717044,2023-01-03T03:37:24Z,SIA23,"40.643452,-73.776749",0,4,331
1672717056,2023-01-03T03:37:36Z,SIA23,"40.643246,-73.776596",0,4,331
1672717068,2023-01-03T03:37:48Z,SIA23,"40.643036,-73.776436",0,4,329
1672717082,2023-01-03T03:38:02Z,SIA23,"40.642826,-73.776283",0,4,331
1672717096,2023-01-03T03:38:16Z,SIA23,"40.642616,-73.776131",0,3,329
1672717111,2023-01-03T03:38:31Z,SIA23,"40.64241,-73.776001",0,3,329
1672717128,2023-01-03T03:38:48Z,SIA23,"40.642197,-73.775818",0,3,331
1672717145,2023-01-03T03:39:05Z,SIA23,"40.641991,-73.775673",0,3,329
1672717163,2023-01-03T03:39:23Z,SIA23,"40.641781,-73.775513",0,3,329
1672717186,2023-01-03T03:39:46Z,SIA23,"40.641575,-73.775314",0,3,331
1672717204,2023-01-03T03:40:04Z,SIA23,"40.641495,-73.775101",0,2,2
1672717232,2023-01-03T03:40:32Z,SIA23,"40.641289,-73.775085",0,1,11
1672717272,2023-01-03T03:41:12Z,SIA23,"40.641083,-73.775101",0,1,25
1672717296,2023-01-03T03:41:36Z,SIA23,"40.640873,-73.775208",0,2,25
1672717317,2023-01-03T03:41:57Z,SIA23,"40.640659,-73.775375",0,3,16
1672717524,2023-01-03T03:45:24Z,SIA23,"40.640774,-73.775162",0,5,30
1672717535,2023-01-03T03:45:35Z,SIA23,"40.640976,-73.774956",0,5,36
1672717541,2023-01-03T03:45:41Z,SIA23,"40.640976,-73.774704",0,7,64
1672717547,2023-01-03T03:45:47Z,SIA23,"40.640865,-73.77449",0,7,95
1672717557,2023-01-03T03:45:57Z,SIA23,"40.640675,-73.774223",0,7,118
1672717562,2023-01-03T03:46:02Z,SIA23,"40.640545,-73.774002",0,8,123
1672717569,2023-01-03T03:46:09Z,SIA23,"40.640385,-73.773758",0,8,126
1672717575,2023-01-03T03:46:15Z,SIA23,"40.640255,-73.773537",0,7,126
1672717581,2023-01-03T03:46:21Z,SIA23,"40.640167,-73.7733",0,8,120
1672717586,2023-01-03T03:46:26Z,SIA23,"40.640236,-73.773056",0,9,92
1672717591,2023-01-03T03:46:31Z,SIA23,"40.640408,-73.77285",0,9,61
1672717597,2023-01-03T03:46:37Z,SIA23,"40.640648,-73.772705",0,9,39
1672717602,2023-01-03T03:46:42Z,SIA23,"40.640862,-73.772583",0,10,30
1672717607,2023-01-03T03:46:47Z,SIA23,"40.641083,-73.7724",0,12,30
1672717612,2023-01-03T03:46:52Z,SIA23,"40.641315,-73.772224",0,13,30
1672717617,2023-01-03T03:46:57Z,SIA23,"40.641617,-73.771973",0,14,30
1672717624,2023-01-03T03:47:04Z,SIA23,"40.641964,-73.771713",0,14,30
1672717630,2023-01-03T03:47:10Z,SIA23,"40.642281,-73.771461",0,14,30
1672717636,2023-01-03T03:47:16Z,SIA23,"40.642582,-73.771225",0,11,30
1672717642,2023-01-03T03:47:22Z,SIA23,"40.642822,-73.771042",0,10,30
1672717648,2023-01-03T03:47:28Z,SIA23,"40.64307,-73.770851",0,10,30
1672717654,2023-01-03T03:47:34Z,SIA23,"40.643303,-73.770676",0,11,30
1672717660,2023-01-03T03:47:40Z,SIA23,"40.64357,-73.770462",0,11,30
1672717666,2023-01-03T03:47:46Z,SIA23,"40.643803,-73.770279",0,11,30
1672717672,2023-01-03T03:47:52Z,SIA23,"40.644119,-73.770073",0,11,25
1672717677,2023-01-03T03:47:57Z,SIA23,"40.644363,-73.769981",0,11,19
1672717681,2023-01-03T03:48:01Z,SIA23,"40.644573,-73.769928",0,12,14
1672717685,2023-01-03T03:48:05Z,SIA23,"40.644791,-73.769897",0,11,8
1672717690,2023-01-03T03:48:10Z,SIA23,"40.645008,-73.769882",0,8,5
1672717696,2023-01-03T03:48:16Z,SIA23,"40.645248,-73.769806",0,9,11
1672717703,2023-01-03T03:48:23Z,SIA23,"40.645493,-73.769608",0,10,25
1672717710,2023-01-03T03:48:30Z,SIA23,"40.645763,-73.769379",0,10,30
1672717716,2023-01-03T03:48:36Z,SIA23,"40.646049,-73.76915",0,11,30
1672717721,2023-01-03T03:48:41Z,SIA23,"40.646278,-73.768982",0,12,30
1672717726,2023-01-03T03:48:46Z,SIA23,"40.646496,-73.768799",0,12,30
1672717732,2023-01-03T03:48:52Z,SIA23,"40.646816,-73.768555",0,13,30
1672717741,2023-01-03T03:49:01Z,SIA23,"40.647285,-73.768181",0,15,30
1672717747,2023-01-03T03:49:07Z,SIA23,"40.647663,-73.767883",0,16,30
1672717753,2023-01-03T03:49:13Z,SIA23,"40.648064,-73.767578",0,16,30
1672717758,2023-01-03T03:49:18Z,SIA23,"40.648392,-73.767326",0,14,30
1672717766,2023-01-03T03:49:26Z,SIA23,"40.648727,-73.767044",0,10,30
1672717772,2023-01-03T03:49:32Z,SIA23,"40.648968,-73.766861",0,10,30
1672717778,2023-01-03T03:49:38Z,SIA23,"40.64917,-73.766701",0,7,30
1672717786,2023-01-03T03:49:46Z,SIA23,"40.649403,-73.766525",0,7,30
1672717793,2023-01-03T03:49:53Z,SIA23,"40.649612,-73.766357",0,8,30
1672717800,2023-01-03T03:50:00Z,SIA23,"40.649837,-73.76619",0,8,30
1672717807,2023-01-03T03:50:07Z,SIA23,"40.650066,-73.766014",0,9,30
1672717814,2023-01-03T03:50:14Z,SIA23,"40.650333,-73.765793",0,9,30
1672717820,2023-01-03T03:50:20Z,SIA23,"40.650536,-73.76564",0,8,30
1672717827,2023-01-03T03:50:27Z,SIA23,"40.650753,-73.765472",0,8,30
1672717835,2023-01-03T03:50:35Z,SIA23,"40.650986,-73.765282",0,5,33
1672717843,2023-01-03T03:50:43Z,SIA23,"40.651077,-73.765076",0,6,47
1672717849,2023-01-03T03:50:49Z,SIA23,"40.651077,-73.764862",0,6,67
1672717855,2023-01-03T03:50:55Z,SIA23,"40.650982,-73.764633",0,6,92
1672717863,2023-01-03T03:51:03Z,SIA23,"40.650867,-73.76442",0,6,109
1672717870,2023-01-03T03:51:10Z,SIA23,"40.650764,-73.764191",0,7,115
1672717876,2023-01-03T03:51:16Z,SIA23,"40.650661,-73.763962",0,8,118
1672717880,2023-01-03T03:51:20Z,SIA23,"40.650566,-73.763748",0,8,120
1672717888,2023-01-03T03:51:28Z,SIA23,"40.650341,-73.763596",0,8,143
1672717896,2023-01-03T03:51:36Z,SIA23,"40.650078,-73.763672",0,7,174
1672717903,2023-01-03T03:51:43Z,SIA23,"40.649868,-73.763832",0,8,196
1672717909,2023-01-03T03:51:49Z,SIA23,"40.649647,-73.764015",0,12,208
1672717913,2023-01-03T03:51:53Z,SIA23,"40.649403,-73.764221",0,20,210
1672717918,2023-01-03T03:51:58Z,SIA23,"40.648853,-73.764648",0,40,210
1672717920,2023-01-03T03:52:00Z,SIA23,"40.648384,-73.765015",0,51,210
1672717924,2023-01-03T03:52:04Z,SIA23,"40.647541,-73.765686",0,67,210
1672717925,2023-01-03T03:52:05Z,SIA23,"40.647274,-73.7659",0,70,210
1672717927,2023-01-03T03:52:07Z,SIA23,"40.646622,-73.766403",0,80,210
1672717928,2023-01-03T03:52:08Z,SIA23,"40.646332,-73.766624",0,82,210
1672717930,2023-01-03T03:52:10Z,SIA23,"40.645775,-73.767044",0,90,210
1672717931,2023-01-03T03:52:11Z,SIA23,"40.645248,-73.767464",0,94,210
1672717937,2023-01-03T03:52:17Z,SIA23,"40.643097,-73.769165",0,116,210
1672717943,2023-01-03T03:52:23Z,SIA23,"40.639591,-73.771881",0,138,210
1672717952,2023-01-03T03:52:32Z,SIA23,"40.634857,-73.775574",0,166,210
1672717957,2023-01-03T03:52:37Z,SIA23,"40.630417,-73.778992",0,181,210
1672717964,2023-01-03T03:52:44Z,SIA23,"40.625626,-73.782806",0,185,211
1672717970,2023-01-03T03:52:50Z,SIA23,"40.621765,-73.78595",250,183,211
