Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672803148,2023-01-04T03:32:28Z,SIA23,"40.64378,-73.779434",0,1,239
1672803172,2023-01-04T03:32:52Z,SIA23,"40.643875,-73.779221",0,1,239
1672803193,2023-01-04T03:33:13Z,SIA23,"40.644012,-73.778984",0,4,247
1672803203,2023-01-04T03:33:23Z,SIA23,"40.644108,-73.778763",0,4,253
1672803214,2023-01-04T03:33:34Z,SIA23,"40.644188,-73.778549",0,3,264
1672803226,2023-01-04T03:33:46Z,SIA23,"40.644253,-73.77832",0,3,275
1672803237,2023-01-04T03:33:57Z,SIA23,"40.644272,-73.778091",0,4,289
1672803248,2023-01-04T03:34:08Z,SIA23,"40.644257,-73.777878",0,3,300
1672803258,2023-01-04T03:34:18Z,SIA23,"40.644165,-73.777672",0,4,303
1672803267,2023-01-04T03:34:27Z,SIA23,"40.644096,-73.777466",0,4,309
1672803277,2023-01-04T03:34:37Z,SIA23,"40.64399,-73.777252",0,4,317
1672803286,2023-01-04T03:34:46Z,SIA23,"40.643887,-73.777046",0,5,329
1672803298,2023-01-04T03:34:58Z,SIA23,"40.643669,-73.776855",0,5,337
1672803308,2023-01-04T03:35:08Z,SIA23,"40.643463,-73.776764",0,5,331
1672803319,2023-01-04T03:35:19Z,SIA23,"40.643246,-73.776627",0,5,329
1672803332,2023-01-04T03:35:32Z,SIA23,"40.643024,-73.776459",0,5,329
1672803343,2023-01-04T03:35:43Z,SIA23,"40.642815,-73.776283",0,5,331
1672803354,2023-01-04T03:35:54Z,SIA23,"40.642593,-73.776123",0,5,331
1672803365,2023-01-04T03:36:05Z,SIA23,"40.642376,-73.77597",0,5,329
1672803375,2023-01-04T03:36:15Z,SIA23,"40.64217,-73.775818",0,5,329
1672803386,2023-01-04T03:36:26Z,SIA23,"40.641964,-73.775665",0,4,326
1672803397,2023-01-04T03:36:37Z,SIA23,"40.641747,-73.775482",0,5,329
1672803410,2023-01-04T03:36:50Z,SIA23,"40.641537,-73.775253",0,5,340
1672803422,2023-01-04T03:37:02Z,SIA23,"40.641323,-73.775101",0,4,354
1672803436,2023-01-04T03:37:16Z,SIA23,"40.641117,-73.775017",0,3,8
1672803450,2023-01-04T03:37:30Z,SIA23,"40.640911,-73.774948",0,4,30
1672803468,2023-01-04T03:37:48Z,SIA23,"40.640709,-73.775162",0,3,33
1672803726,2023-01-04T03:42:06Z,SIA23,"40.640923,-73.77504",0,4,28
1672803736,2023-01-04T03:42:16Z,SIA23,"40.64101,-73.774818",0,5,50
1672803743,2023-01-04T03:42:23Z,SIA23,"40.640945,-73.774612",0,5,75
1672803756,2023-01-04T03:42:36Z,SIA23,"40.640808,-73.774399",0,3,106
1672803770,2023-01-04T03:42:50Z,SIA23,"40.640648,-73.77417",0,4,120
1672803779,2023-01-04T03:42:59Z,SIA23,"40.640522,-73.773956",0,6,126
1672803787,2023-01-04T03:43:07Z,SIA23,"40.640385,-73.773727",0,6,126
1672803794,2023-01-04T03:43:14Z,SIA23,"40.640259,-73.773499",0,8,126
1672803800,2023-01-04T03:43:20Z,SIA23,"40.640175,-73.773193",0,10,112
1672803805,2023-01-04T03:43:25Z,SIA23,"40.640289,-73.772957",0,10,84
1672803811,2023-01-04T03:43:31Z,SIA23,"40.640511,-73.772789",0,8,50
1672803818,2023-01-04T03:43:38Z,SIA23,"40.640766,-73.772629",0,8,33
1672803824,2023-01-04T03:43:44Z,SIA23,"40.640968,-73.772491",0,9,30
1672803830,2023-01-04T03:43:50Z,SIA23,"40.641186,-73.772324",0,9,30
1672803836,2023-01-04T03:43:56Z,SIA23,"40.641415,-73.772141",0,10,30
1672803842,2023-01-04T03:44:02Z,SIA23,"40.641666,-73.771957",0,10,30
1672803848,2023-01-04T03:44:08Z,SIA23,"40.641895,-73.771759",0,10,30
1672803854,2023-01-04T03:44:14Z,SIA23,"40.642124,-73.771576",0,10,30
1672803860,2023-01-04T03:44:20Z,SIA23,"40.642384,-73.771385",0,11,30
1672803866,2023-01-04T03:44:26Z,SIA23,"40.642628,-73.771179",0,11,30
1672803872,2023-01-04T03:44:32Z,SIA23,"40.642899,-73.770981",0,12,30
1672803878,2023-01-04T03:44:38Z,SIA23,"40.643177,-73.770744",0,12,30
1672803884,2023-01-04T03:44:44Z,SIA23,"40.643475,-73.770523",0,12,30
1672803890,2023-01-04T03:44:50Z,SIA23,"40.643749,-73.770309",0,10,30
1672803897,2023-01-04T03:44:57Z,SIA23,"40.644035,-73.770081",0,11,28
1672803902,2023-01-04T03:45:02Z,SIA23,"40.644276,-73.769989",0,11,22
1672803910,2023-01-04T03:45:10Z,SIA23,"40.644665,-73.769897",0,11,11
1672803914,2023-01-04T03:45:14Z,SIA23,"40.644875,-73.769897",0,10,5
1672803919,2023-01-04T03:45:19Z,SIA23,"40.645084,-73.769867",0,9,5
1672803926,2023-01-04T03:45:26Z,SIA23,"40.64534,-73.76973",0,9,19
1672803932,2023-01-04T03:45:32Z,SIA23,"40.64555,-73.769539",0,10,28
1672803938,2023-01-04T03:45:38Z,SIA23,"40.645786,-73.769348",0,10,30
1672803944,2023-01-04T03:45:44Z,SIA23,"40.646061,-73.769135",0,10,30
1672803951,2023-01-04T03:45:51Z,SIA23,"40.646343,-73.768921",0,10,30
1672803957,2023-01-04T03:45:57Z,SIA23,"40.646576,-73.768723",0,10,30
1672803963,2023-01-04T03:46:03Z,SIA23,"40.64682,-73.768539",0,10,30
1672803969,2023-01-04T03:46:09Z,SIA23,"40.647053,-73.768356",0,11,30
1672803974,2023-01-04T03:46:14Z,SIA23,"40.647308,-73.768158",0,12,30
1672803981,2023-01-04T03:46:21Z,SIA23,"40.647598,-73.767921",0,11,30
1672803987,2023-01-04T03:46:27Z,SIA23,"40.647869,-73.767715",0,10,30
1672803993,2023-01-04T03:46:33Z,SIA23,"40.648144,-73.767502",0,12,30
1672803999,2023-01-04T03:46:39Z,SIA23,"40.64843,-73.767273",0,12,30
1672804005,2023-01-04T03:46:45Z,SIA23,"40.648693,-73.767059",0,10,30
1672804011,2023-01-04T03:46:51Z,SIA23,"40.648945,-73.766876",0,10,30
1672804019,2023-01-04T03:46:59Z,SIA23,"40.649239,-73.76664",0,9,30
1672804025,2023-01-04T03:47:05Z,SIA23,"40.649448,-73.766479",0,10,30
1672804031,2023-01-04T03:47:11Z,SIA23,"40.649681,-73.766296",0,10,30
1672804037,2023-01-04T03:47:17Z,SIA23,"40.64994,-73.766098",0,11,30
1672804043,2023-01-04T03:47:23Z,SIA23,"40.650204,-73.7659",0,11,30
1672804049,2023-01-04T03:47:29Z,SIA23,"40.650475,-73.765686",0,12,30
1672804058,2023-01-04T03:47:38Z,SIA23,"40.650917,-73.765327",0,12,33
1672804061,2023-01-04T03:47:41Z,SIA23,"40.651016,-73.765106",0,11,47
1672804065,2023-01-04T03:47:45Z,SIA23,"40.651028,-73.764877",0,12,67
1672804068,2023-01-04T03:47:48Z,SIA23,"40.650974,-73.764671",0,11,84
1672804072,2023-01-04T03:47:52Z,SIA23,"40.650879,-73.764435",0,10,104
1672804077,2023-01-04T03:47:57Z,SIA23,"40.650764,-73.764206",0,10,115
1672804081,2023-01-04T03:48:01Z,SIA23,"40.650673,-73.763992",0,10,118
1672804085,2023-01-04T03:48:05Z,SIA23,"40.65057,-73.763779",0,10,118
1672804090,2023-01-04T03:48:10Z,SIA23,"40.650436,-73.763565",0,7,126
1672804099,2023-01-04T03:48:19Z,SIA23,"40.650219,-73.763504",0,6,151
1672804109,2023-01-04T03:48:29Z,SIA23,"40.650009,-73.763641",0,5,185
1672804118,2023-01-04T03:48:38Z,SIA23,"40.649857,-73.763847",0,5,205
1672804128,2023-01-04T03:48:48Z,SIA23,"40.649586,-73.764069",0,14,210
1672804131,2023-01-04T03:48:51Z,SIA23,"40.649357,-73.764252",0,27,210
1672804133,2023-01-04T03:48:53Z,SIA23,"40.649025,-73.764511",0,38,210
1672804135,2023-01-04T03:48:55Z,SIA23,"40.648682,-73.764771",0,47,210
1672804137,2023-01-04T03:48:57Z,SIA23,"40.648273,-73.765091",0,56,210
1672804138,2023-01-04T03:48:58Z,SIA23,"40.648052,-73.765274",0,60,210
1672804139,2023-01-04T03:48:59Z,SIA23,"40.647797,-73.765488",0,64,210
1672804140,2023-01-04T03:49:00Z,SIA23,"40.64756,-73.765656",0,68,210
1672804142,2023-01-04T03:49:02Z,SIA23,"40.647076,-73.766029",0,74,210
1672804151,2023-01-04T03:49:11Z,SIA23,"40.643509,-73.768799",125,111,210
1672804157,2023-01-04T03:49:17Z,SIA23,"40.6409,-73.770874",125,132,210
1672804163,2023-01-04T03:49:23Z,SIA23,"40.637497,-73.773506",100,152,210
1672804169,2023-01-04T03:49:29Z,SIA23,"40.63353,-73.776611",50,170,210
1672804175,2023-01-04T03:49:35Z,SIA23,"40.629723,-73.779625",225,176,211
1672804181,2023-01-04T03:49:41Z,SIA23,"40.625107,-73.783264",500,172,211
1672804189,2023-01-04T03:49:49Z,SIA23,"40.620087,-73.787178",875,167,210
1672804197,2023-01-04T03:49:57Z,SIA23,"40.615356,-73.790649",1350,160,207
1672804203,2023-01-04T03:50:03Z,SIA23,"40.610687,-73.793762",1675,155,205
1672804206,2023-01-04T03:50:06Z,SIA23,"40.608402,-73.795166",1850,153,205
1672804209,2023-01-04T03:50:09Z,SIA23,"40.60696,-73.796104",1975,152,204
1672804212,2023-01-04T03:50:12Z,SIA23,"40.604584,-73.797478",2075,153,203
1672804215,2023-01-04T03:50:15Z,SIA23,"40.602863,-73.798409",2150,156,202
1672804218,2023-01-04T03:50:18Z,SIA23,"40.601093,-73.799408",2175,160,202
1672804221,2023-01-04T03:50:21Z,SIA23,"40.598625,-73.80072",2200,164,202
1672804224,2023-01-04T03:50:24Z,SIA23,"40.596252,-73.802032",2225,169,202
1672804230,2023-01-04T03:50:30Z,SIA23,"40.591969,-73.804466",2275,177,203
1672804236,2023-01-04T03:50:36Z,SIA23,"40.587128,-73.807152",2350,182,202
1672804242,2023-01-04T03:50:42Z,SIA23,"40.582424,-73.809708",2425,188,202
1672804248,2023-01-04T03:50:48Z,SIA23,"40.577351,-73.812393",2500,200,200
1672804253,2023-01-04T03:50:53Z,SIA23,"40.572418,-73.814392",2550,213,193
1672804256,2023-01-04T03:50:56Z,SIA23,"40.569672,-73.81514",2575,219,189
1672804259,2023-01-04T03:50:59Z,SIA23,"40.56641,-73.815704",2600,226,184
1672804262,2023-01-04T03:51:02Z,SIA23,"40.563061,-73.815887",2650,234,180
1672804265,2023-01-04T03:51:05Z,SIA23,"40.559895,-73.815643",2675,241,174
1672804268,2023-01-04T03:51:08Z,SIA23,"40.55645,-73.814888",2725,249,167
1672804270,2023-01-04T03:51:10Z,SIA23,"40.55484,-73.814392",2750,252,165
1672804273,2023-01-04T03:51:13Z,SIA23,"40.552353,-73.813454",2800,259,160
1672804276,2023-01-04T03:51:16Z,SIA23,"40.549465,-73.812019",2850,267,154
1672804279,2023-01-04T03:51:19Z,SIA23,"40.54509,-73.80909",2900,275,148
1672804282,2023-01-04T03:51:22Z,SIA23,"40.541382,-73.805908",2975,280,144
1672804285,2023-01-04T03:51:25Z,SIA23,"40.538086,-73.80249",3025,287,138
1672804288,2023-01-04T03:51:28Z,SIA23,"40.535431,-73.799194",3100,292,134
1672804291,2023-01-04T03:51:31Z,SIA23,"40.532848,-73.795479",3200,295,131
1672804295,2023-01-04T03:51:35Z,SIA23,"40.52916,-73.788879",3325,302,123
1672804299,2023-01-04T03:51:39Z,SIA23,"40.527008,-73.78418",3425,307,118
1672804301,2023-01-04T03:51:41Z,SIA23,"40.524887,-73.778564",3550,308,114
1672804305,2023-01-04T03:51:45Z,SIA23,"40.523445,-73.773819",3700,308,108
1672804308,2023-01-04T03:51:48Z,SIA23,"40.522247,-73.768372",3900,306,103
1672804310,2023-01-04T03:51:50Z,SIA23,"40.521286,-73.762329",4100,302,99
1672804314,2023-01-04T03:51:54Z,SIA23,"40.52079,-73.756966",4325,300,95
1672804317,2023-01-04T03:51:57Z,SIA23,"40.520645,-73.75177",4525,298,90
1672804320,2023-01-04T03:52:00Z,SIA23,"40.52079,-73.74585",4700,296,86
1672804323,2023-01-04T03:52:03Z,SIA23,"40.521255,-73.740234",4875,296,81
1672804326,2023-01-04T03:52:06Z,SIA23,"40.521999,-73.735428",5000,296,77
1672804329,2023-01-04T03:52:09Z,SIA23,"40.523071,-73.730164",5100,297,73
1672804332,2023-01-04T03:52:12Z,SIA23,"40.524094,-73.726067",5200,299,68
1672804335,2023-01-04T03:52:15Z,SIA23,"40.526001,-73.720154",5275,299,64
1672804338,2023-01-04T03:52:18Z,SIA23,"40.527912,-73.715393",5375,300,60
1672804341,2023-01-04T03:52:21Z,SIA23,"40.529892,-73.711121",5450,302,56
1672804344,2023-01-04T03:52:24Z,SIA23,"40.532684,-73.705994",5525,303,52
1672804347,2023-01-04T03:52:27Z,SIA23,"40.535362,-73.70166",5625,304,49
1672804350,2023-01-04T03:52:30Z,SIA23,"40.538246,-73.697472",5700,305,47
1672804353,2023-01-04T03:52:33Z,SIA23,"40.541134,-73.693481",5775,306,45
1672804356,2023-01-04T03:52:36Z,SIA23,"40.542763,-73.69136",5875,307,43
1672804359,2023-01-04T03:52:39Z,SIA23,"40.547516,-73.685547",5975,308,42
1672804362,2023-01-04T03:52:42Z,SIA23,"40.550163,-73.682434",6075,308,41
1672804365,2023-01-04T03:52:45Z,SIA23,"40.55397,-73.678101",6150,310,40
1672804368,2023-01-04T03:52:48Z,SIA23,"40.557007,-73.674629",6250,311,40
1672804371,2023-01-04T03:52:51Z,SIA23,"40.559849,-73.671509",6350,312,40
1672804374,2023-01-04T03:52:54Z,SIA23,"40.563713,-73.667198",6450,313,39
1672804377,2023-01-04T03:52:57Z,SIA23,"40.567108,-73.663513",6550,313,39
1672804389,2023-01-04T03:53:09Z,SIA23,"40.580658,-73.648682",7050,312,39
1672804401,2023-01-04T03:53:21Z,SIA23,"40.593643,-73.634369",7575,311,40
