Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1672889852,2023-01-05T03:37:32Z,SIA23,"40.643784,-73.779449",0,0,239
1672889866,2023-01-05T03:37:46Z,SIA23,"40.643887,-73.779236",0,3,239
1672889878,2023-01-05T03:37:58Z,SIA23,"40.644001,-73.779015",0,5,239
1672889888,2023-01-05T03:38:08Z,SIA23,"40.644119,-73.778809",0,4,247
1672889897,2023-01-05T03:38:17Z,SIA23,"40.644241,-73.778595",0,5,261
1672889905,2023-01-05T03:38:25Z,SIA23,"40.644306,-73.778374",0,6,275
1672889911,2023-01-05T03:38:31Z,SIA23,"40.644333,-73.778168",0,6,289
1672889916,2023-01-05T03:38:36Z,SIA23,"40.644329,-73.777954",0,6,300
1672889923,2023-01-05T03:38:43Z,SIA23,"40.644245,-73.777748",0,6,306
1672889930,2023-01-05T03:38:50Z,SIA23,"40.644131,-73.777519",0,7,309
1672889937,2023-01-05T03:38:57Z,SIA23,"40.644001,-73.777267",0,7,317
1672889944,2023-01-05T03:39:04Z,SIA23,"40.643864,-73.777061",0,7,329
1672889953,2023-01-05T03:39:13Z,SIA23,"40.643608,-73.776848",0,7,329
1672889959,2023-01-05T03:39:19Z,SIA23,"40.643406,-73.776703",0,8,326
1672889966,2023-01-05T03:39:26Z,SIA23,"40.643177,-73.77652",0,8,326
1672889974,2023-01-05T03:39:34Z,SIA23,"40.64296,-73.776321",0,8,331
1672889982,2023-01-05T03:39:42Z,SIA23,"40.642723,-73.776131",0,8,334
1672889988,2023-01-05T03:39:48Z,SIA23,"40.642502,-73.776016",0,8,331
1672889995,2023-01-05T03:39:55Z,SIA23,"40.642296,-73.775879",0,7,331
1672890002,2023-01-05T03:40:02Z,SIA23,"40.642082,-73.775719",0,7,329
1672890010,2023-01-05T03:40:10Z,SIA23,"40.64185,-73.775551",0,7,329
1672890018,2023-01-05T03:40:18Z,SIA23,"40.641628,-73.775314",0,8,337
1672890025,2023-01-05T03:40:25Z,SIA23,"40.641418,-73.775146",0,8,354
1672890033,2023-01-05T03:40:33Z,SIA23,"40.641186,-73.775024",0,7,16
1672890040,2023-01-05T03:40:40Z,SIA23,"40.64098,-73.775055",0,6,28
1672890048,2023-01-05T03:40:48Z,SIA23,"40.640774,-73.775192",0,6,28
1672890239,2023-01-05T03:43:59Z,SIA23,"40.640942,-73.774971",0,6,36
1672890247,2023-01-05T03:44:07Z,SIA23,"40.64098,-73.774689",0,7,61
1672890253,2023-01-05T03:44:13Z,SIA23,"40.640888,-73.774445",0,6,92
1672890261,2023-01-05T03:44:21Z,SIA23,"40.640766,-73.774239",0,5,109
1672890272,2023-01-05T03:44:32Z,SIA23,"40.640606,-73.774033",0,5,126
1672890282,2023-01-05T03:44:42Z,SIA23,"40.640442,-73.773819",0,4,129
1672890293,2023-01-05T03:44:53Z,SIA23,"40.640305,-73.773575",0,6,129
1672890298,2023-01-05T03:44:58Z,SIA23,"40.640221,-73.773361",0,8,120
1672890303,2023-01-05T03:45:03Z,SIA23,"40.640213,-73.773117",0,9,104
1672890308,2023-01-05T03:45:08Z,SIA23,"40.640301,-73.772896",0,10,81
1672890313,2023-01-05T03:45:13Z,SIA23,"40.640522,-73.772758",0,9,47
1672890320,2023-01-05T03:45:20Z,SIA23,"40.640755,-73.772614",0,8,33
1672890328,2023-01-05T03:45:28Z,SIA23,"40.640991,-73.772446",0,8,30
1672890334,2023-01-05T03:45:34Z,SIA23,"40.641197,-73.772293",0,9,30
1672890340,2023-01-05T03:45:40Z,SIA23,"40.641415,-73.772125",0,9,30
1672890346,2023-01-05T03:45:46Z,SIA23,"40.641632,-73.771957",0,9,30
1672890352,2023-01-05T03:45:52Z,SIA23,"40.641838,-73.77179",0,9,30
1672890358,2023-01-05T03:45:58Z,SIA23,"40.642071,-73.771614",0,9,30
1672890364,2023-01-05T03:46:04Z,SIA23,"40.642281,-73.771446",0,9,30
1672890370,2023-01-05T03:46:10Z,SIA23,"40.642502,-73.771286",0,10,30
1672890376,2023-01-05T03:46:16Z,SIA23,"40.642746,-73.771088",0,10,30
1672890382,2023-01-05T03:46:22Z,SIA23,"40.643002,-73.770897",0,11,30
1672890388,2023-01-05T03:46:28Z,SIA23,"40.643257,-73.770699",0,11,30
1672890394,2023-01-05T03:46:34Z,SIA23,"40.643536,-73.770477",0,11,30
1672890400,2023-01-05T03:46:40Z,SIA23,"40.643803,-73.770256",0,12,30
1672890406,2023-01-05T03:46:46Z,SIA23,"40.644081,-73.770081",0,12,28
1672890410,2023-01-05T03:46:50Z,SIA23,"40.644283,-73.769981",0,12,22
1672890415,2023-01-05T03:46:55Z,SIA23,"40.644585,-73.769897",0,12,14
1672890419,2023-01-05T03:46:59Z,SIA23,"40.644794,-73.769882",0,12,8
1672890424,2023-01-05T03:47:04Z,SIA23,"40.645061,-73.769867",0,12,5
1672890428,2023-01-05T03:47:08Z,SIA23,"40.645294,-73.76976",0,13,14
1672890433,2023-01-05T03:47:13Z,SIA23,"40.645538,-73.769554",0,13,28
1672890438,2023-01-05T03:47:18Z,SIA23,"40.645786,-73.769333",0,13,30
1672890444,2023-01-05T03:47:24Z,SIA23,"40.646122,-73.769073",0,13,30
1672890449,2023-01-05T03:47:29Z,SIA23,"40.646355,-73.768906",0,13,30
1672890456,2023-01-05T03:47:36Z,SIA23,"40.646713,-73.768623",0,12,30
1672890462,2023-01-05T03:47:42Z,SIA23,"40.64698,-73.768417",0,12,30
1672890468,2023-01-05T03:47:48Z,SIA23,"40.647285,-73.768181",0,13,30
1672890475,2023-01-05T03:47:55Z,SIA23,"40.647587,-73.767937",0,12,30
1672890480,2023-01-05T03:48:00Z,SIA23,"40.647831,-73.767746",0,10,30
1672890486,2023-01-05T03:48:06Z,SIA23,"40.648075,-73.767548",0,11,30
1672890492,2023-01-05T03:48:12Z,SIA23,"40.648319,-73.767357",0,10,30
1672890499,2023-01-05T03:48:19Z,SIA23,"40.648544,-73.767181",0,8,30
1672890507,2023-01-05T03:48:27Z,SIA23,"40.648762,-73.767014",0,6,30
1672890516,2023-01-05T03:48:36Z,SIA23,"40.648979,-73.766846",0,6,30
1672890525,2023-01-05T03:48:45Z,SIA23,"40.649181,-73.766701",0,5,30
1672890536,2023-01-05T03:48:56Z,SIA23,"40.649391,-73.766525",0,5,30
1672890546,2023-01-05T03:49:06Z,SIA23,"40.649601,-73.766373",0,6,30
1672890554,2023-01-05T03:49:14Z,SIA23,"40.649811,-73.766205",0,6,30
1672890563,2023-01-05T03:49:23Z,SIA23,"40.650021,-73.766045",0,7,30
1672890570,2023-01-05T03:49:30Z,SIA23,"40.650227,-73.765884",0,7,30
1672890577,2023-01-05T03:49:37Z,SIA23,"40.650444,-73.765717",0,8,30
1672890584,2023-01-05T03:49:44Z,SIA23,"40.650646,-73.765564",0,8,30
1672890591,2023-01-05T03:49:51Z,SIA23,"40.650867,-73.765388",0,7,30
1672890598,2023-01-05T03:49:58Z,SIA23,"40.651043,-73.76516",0,8,39
1672890604,2023-01-05T03:50:04Z,SIA23,"40.651096,-73.764908",0,8,59
1672890608,2023-01-05T03:50:08Z,SIA23,"40.651054,-73.764671",0,9,81
1672890614,2023-01-05T03:50:14Z,SIA23,"40.650925,-73.76442",0,8,106
1672890621,2023-01-05T03:50:21Z,SIA23,"40.650787,-73.764175",0,8,118
1672890625,2023-01-05T03:50:25Z,SIA23,"40.650696,-73.763962",0,9,118
1672890630,2023-01-05T03:50:30Z,SIA23,"40.650593,-73.763748",0,9,120
1672890638,2023-01-05T03:50:38Z,SIA23,"40.650311,-73.763535",0,9,143
1672890643,2023-01-05T03:50:43Z,SIA23,"40.650101,-73.76358",0,8,168
1672890654,2023-01-05T03:50:54Z,SIA23,"40.649857,-73.763832",0,4,202
1672890746,2023-01-05T03:52:26Z,SIA23,"40.649643,-73.764008",0,13,210
1672890753,2023-01-05T03:52:33Z,SIA23,"40.648716,-73.76474",0,48,210
1672890759,2023-01-05T03:52:39Z,SIA23,"40.647331,-73.765831",0,72,210
1672890765,2023-01-05T03:52:45Z,SIA23,"40.645214,-73.767479",0,98,210
1672890771,2023-01-05T03:52:51Z,SIA23,"40.643036,-73.769196",150,121,211
1672890777,2023-01-05T03:52:57Z,SIA23,"40.639389,-73.772034",125,142,210
1672890783,2023-01-05T03:53:03Z,SIA23,"40.636276,-73.774475",125,162,210
1672890789,2023-01-05T03:53:09Z,SIA23,"40.63205,-73.777809",125,179,211
1672890795,2023-01-05T03:53:15Z,SIA23,"40.627304,-73.781677",325,180,212
1672890801,2023-01-05T03:53:21Z,SIA23,"40.622955,-73.785278",600,178,212
1672890807,2023-01-05T03:53:27Z,SIA23,"40.618828,-73.788673",875,175,211
1672890812,2023-01-05T03:53:32Z,SIA23,"40.615494,-73.79126",1125,172,210
1672890821,2023-01-05T03:53:41Z,SIA23,"40.610218,-73.795288",1550,167,210
1672890827,2023-01-05T03:53:47Z,SIA23,"40.605423,-73.798889",1850,165,209
1672890832,2023-01-05T03:53:52Z,SIA23,"40.603466,-73.800346",2000,164,209
1672890839,2023-01-05T03:53:59Z,SIA23,"40.597504,-73.804382",2075,174,204
1672890842,2023-01-05T03:54:02Z,SIA23,"40.595272,-73.805466",2100,180,198
1672890845,2023-01-05T03:54:05Z,SIA23,"40.592606,-73.806335",2125,184,192
1672890848,2023-01-05T03:54:08Z,SIA23,"40.590153,-73.806648",2150,192,181
1672890851,2023-01-05T03:54:11Z,SIA23,"40.587315,-73.806526",2175,196,174
1672890854,2023-01-05T03:54:14Z,SIA23,"40.584892,-73.805962",2200,202,166
1672890856,2023-01-05T03:54:16Z,SIA23,"40.582191,-73.804901",2225,209,159
1672890860,2023-01-05T03:54:20Z,SIA23,"40.579166,-73.803154",2275,214,153
1672890861,2023-01-05T03:54:21Z,SIA23,"40.57819,-73.802406",2300,216,149
1672890865,2023-01-05T03:54:25Z,SIA23,"40.575211,-73.799683",2350,222,141
1672890867,2023-01-05T03:54:27Z,SIA23,"40.57428,-73.798721",2375,226,137
1672890870,2023-01-05T03:54:30Z,SIA23,"40.571346,-73.794792",2425,226,137
1672890871,2023-01-05T03:54:31Z,SIA23,"40.570274,-73.792984",2450,231,129
1672890873,2023-01-05T03:54:33Z,SIA23,"40.569344,-73.791298",2475,234,126
1672890874,2023-01-05T03:54:34Z,SIA23,"40.568459,-73.789482",2500,236,123
1672890877,2023-01-05T03:54:37Z,SIA23,"40.566925,-73.785645",2550,236,123
1672890880,2023-01-05T03:54:40Z,SIA23,"40.565781,-73.78186",2600,245,111
1672890883,2023-01-05T03:54:43Z,SIA23,"40.564774,-73.777405",2650,251,104
1672890886,2023-01-05T03:54:46Z,SIA23,"40.564129,-73.772942",2700,256,98
1672890889,2023-01-05T03:54:49Z,SIA23,"40.563805,-73.7687",2750,259,94
1672890892,2023-01-05T03:54:52Z,SIA23,"40.563766,-73.763977",2800,264,89
1672890893,2023-01-05T03:54:53Z,SIA23,"40.563805,-73.763016",2800,264,89
1672890896,2023-01-05T03:54:56Z,SIA23,"40.564129,-73.757591",2850,270,84
1672890898,2023-01-05T03:54:58Z,SIA23,"40.564644,-73.752846",2875,264,89
1672890901,2023-01-05T03:55:01Z,SIA23,"40.565109,-73.749283",2925,278,78
1672890904,2023-01-05T03:55:04Z,SIA23,"40.566132,-73.743042",2950,282,77
1672890907,2023-01-05T03:55:07Z,SIA23,"40.567017,-73.737915",3025,282,77
1672890910,2023-01-05T03:55:10Z,SIA23,"40.567612,-73.734497",3075,288,76
1672890913,2023-01-05T03:55:13Z,SIA23,"40.568939,-73.727417",3175,288,76
1672890916,2023-01-05T03:55:16Z,SIA23,"40.569901,-73.722534",3300,288,75
1672890920,2023-01-05T03:55:20Z,SIA23,"40.571136,-73.716125",3425,290,75
1672890923,2023-01-05T03:55:23Z,SIA23,"40.57209,-73.711334",3525,290,75
1672890925,2023-01-05T03:55:25Z,SIA23,"40.572369,-73.709831",3600,291,75
1672890932,2023-01-05T03:55:32Z,SIA23,"40.575119,-73.69574",3925,290,75
1672890938,2023-01-05T03:55:38Z,SIA23,"40.577179,-73.685364",4200,290,75
1672890944,2023-01-05T03:55:44Z,SIA23,"40.579239,-73.675232",4400,292,75
1672890950,2023-01-05T03:55:50Z,SIA23,"40.581207,-73.665283",4575,296,75
1672890956,2023-01-05T03:55:56Z,SIA23,"40.583359,-73.654602",4725,299,75
1672890963,2023-01-05T03:56:03Z,SIA23,"40.585732,-73.642853",4925,302,75
1672890969,2023-01-05T03:56:09Z,SIA23,"40.587799,-73.632568",5125,305,75
1672890981,2023-01-05T03:56:21Z,SIA23,"40.592155,-73.610893",5625,304,75
1672890995,2023-01-05T03:56:35Z,SIA23,"40.595901,-73.587341",6125,303,84
1672890997,2023-01-05T03:56:37Z,SIA23,"40.59602,-73.581497",6275,300,91
1672891000,2023-01-05T03:56:40Z,SIA23,"40.595718,-73.575989",6400,297,96
1672891004,2023-01-05T03:56:44Z,SIA23,"40.595039,-73.570885",6525,294,102
1672891007,2023-01-05T03:56:47Z,SIA23,"40.593979,-73.565796",6650,292,107
1672891010,2023-01-05T03:56:50Z,SIA23,"40.592434,-73.560211",6775,290,112
1672891012,2023-01-05T03:56:52Z,SIA23,"40.590805,-73.555466",6875,288,115
1672891015,2023-01-05T03:56:55Z,SIA23,"40.588989,-73.550659",6975,289,117
1672891019,2023-01-05T03:56:59Z,SIA23,"40.587341,-73.546509",7075,290,117
1672891023,2023-01-05T03:57:03Z,SIA23,"40.584473,-73.539299",7250,291,117
1672891026,2023-01-05T03:57:06Z,SIA23,"40.582191,-73.533615",7350,292,117
1672891029,2023-01-05T03:57:09Z,SIA23,"40.580292,-73.528687",7450,293,116
1672891032,2023-01-05T03:57:12Z,SIA23,"40.578423,-73.52375",7525,295,116
1672891044,2023-01-05T03:57:24Z,SIA23,"40.571346,-73.504524",7950,298,115
1672891056,2023-01-05T03:57:36Z,SIA23,"40.564362,-73.484924",8325,302,114
1672891068,2023-01-05T03:57:48Z,SIA23,"40.557175,-73.464294",8750,305,114
1672891080,2023-01-05T03:58:00Z,SIA23,"40.550026,-73.443481",9175,308,114
1672891092,2023-01-05T03:58:12Z,SIA23,"40.54303,-73.423157",9675,305,114
1672891104,2023-01-05T03:58:24Z,SIA23,"40.536301,-73.403442",10200,304,114
1672891116,2023-01-05T03:58:36Z,SIA23,"40.528931,-73.382568",10475,311,115
1672891128,2023-01-05T03:58:48Z,SIA23,"40.521442,-73.361702",10775,316,115
1672891139,2023-01-05T03:58:59Z,SIA23,"40.514603,-73.342712",11100,318,115
1672891150,2023-01-05T03:59:10Z,SIA23,"40.507431,-73.322563",11450,323,114
1672891164,2023-01-05T03:59:24Z,SIA23,"40.498631,-73.297661",11900,325,114
1672891176,2023-01-05T03:59:36Z,SIA23,"40.490982,-73.27594",12375,324,114
1672891190,2023-01-05T03:59:50Z,SIA23,"40.484341,-73.250969",12875,329,104
1672891192,2023-01-05T03:59:52Z,SIA23,"40.483829,-73.247162",12950,333,98
1672891195,2023-01-05T03:59:55Z,SIA23,"40.483292,-73.239868",13050,335,92
1672891198,2023-01-05T03:59:58Z,SIA23,"40.483223,-73.237923",13150,337,89
1672891201,2023-01-05T04:00:01Z,SIA23,"40.483612,-73.2276",13250,338,86
1672891205,2023-01-05T04:00:05Z,SIA23,"40.484341,-73.221382",13325,343,78
