Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673062844,2023-01-07T03:40:44Z,SIA23,"40.643768,-73.77948",0,0,239
1673062924,2023-01-07T03:42:04Z,SIA23,"40.643852,-73.779266",0,3,233
1673062937,2023-01-07T03:42:17Z,SIA23,"40.643978,-73.77906",0,3,236
1673062953,2023-01-07T03:42:33Z,SIA23,"40.644176,-73.778824",0,5,261
1673062960,2023-01-07T03:42:40Z,SIA23,"40.644222,-73.778595",0,6,267
1673062966,2023-01-07T03:42:46Z,SIA23,"40.644272,-73.778374",0,6,278
1673062972,2023-01-07T03:42:52Z,SIA23,"40.644287,-73.778152",0,6,286
1673062980,2023-01-07T03:43:00Z,SIA23,"40.644264,-73.777924",0,4,295
1673062988,2023-01-07T03:43:08Z,SIA23,"40.644199,-73.777687",0,6,303
1673062994,2023-01-07T03:43:14Z,SIA23,"40.644127,-73.777481",0,7,312
1673063000,2023-01-07T03:43:20Z,SIA23,"40.644012,-73.777252",0,8,320
1673063007,2023-01-07T03:43:27Z,SIA23,"40.643841,-73.777031",0,7,329
1673063014,2023-01-07T03:43:34Z,SIA23,"40.643631,-73.776878",0,8,329
1673063020,2023-01-07T03:43:40Z,SIA23,"40.643429,-73.776718",0,8,329
1673063027,2023-01-07T03:43:47Z,SIA23,"40.643211,-73.776535",0,8,329
1673063034,2023-01-07T03:43:54Z,SIA23,"40.64299,-73.776344",0,8,331
1673063041,2023-01-07T03:44:01Z,SIA23,"40.642769,-73.776207",0,8,331
1673063047,2023-01-07T03:44:07Z,SIA23,"40.642536,-73.776031",0,8,331
1673063054,2023-01-07T03:44:14Z,SIA23,"40.642319,-73.775879",0,8,331
1673063060,2023-01-07T03:44:20Z,SIA23,"40.64209,-73.775726",0,8,329
1673063068,2023-01-07T03:44:28Z,SIA23,"40.641861,-73.775551",0,8,329
1673063075,2023-01-07T03:44:35Z,SIA23,"40.641663,-73.775345",0,8,337
1673063083,2023-01-07T03:44:43Z,SIA23,"40.641418,-73.775162",0,8,354
1673063089,2023-01-07T03:44:49Z,SIA23,"40.641209,-73.775085",0,7,5
1673063098,2023-01-07T03:44:58Z,SIA23,"40.640953,-73.775047",0,5,28
1673063109,2023-01-07T03:45:09Z,SIA23,"40.640739,-73.775162",0,4,33
1673063417,2023-01-07T03:50:17Z,SIA23,"40.640945,-73.775009",0,6,30
1673063424,2023-01-07T03:50:24Z,SIA23,"40.640987,-73.774788",0,6,56
1673063431,2023-01-07T03:50:31Z,SIA23,"40.640911,-73.774567",0,5,81
1673063441,2023-01-07T03:50:41Z,SIA23,"40.640808,-73.774353",0,5,104
1673063450,2023-01-07T03:50:50Z,SIA23,"40.640663,-73.774132",0,6,118
1673063457,2023-01-07T03:50:57Z,SIA23,"40.640522,-73.773926",0,7,126
1673063464,2023-01-07T03:51:04Z,SIA23,"40.640373,-73.773682",0,8,126
1673063469,2023-01-07T03:51:09Z,SIA23,"40.640255,-73.773476",0,9,126
1673063475,2023-01-07T03:51:15Z,SIA23,"40.640087,-73.773178",0,11,126
1673063481,2023-01-07T03:51:21Z,SIA23,"40.639904,-73.772865",0,12,126
1673063487,2023-01-07T03:51:27Z,SIA23,"40.639683,-73.772491",0,13,126
1673063493,2023-01-07T03:51:33Z,SIA23,"40.639469,-73.772125",0,12,126
1673063499,2023-01-07T03:51:39Z,SIA23,"40.639267,-73.771774",0,11,126
1673063505,2023-01-07T03:51:45Z,SIA23,"40.639057,-73.771423",0,13,126
1673063511,2023-01-07T03:51:51Z,SIA23,"40.638836,-73.771042",0,14,126
1673063517,2023-01-07T03:51:57Z,SIA23,"40.638577,-73.770615",0,15,126
