Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673235378,2023-01-09T03:36:18Z,SIA23,"40.644184,-73.78006",0,0,227
1673235394,2023-01-09T03:36:34Z,SIA23,"40.64439,-73.779861",0,4,244
1673235404,2023-01-09T03:36:44Z,SIA23,"40.64455,-73.779655",0,5,270
1673235412,2023-01-09T03:36:52Z,SIA23,"40.644562,-73.779388",0,6,278
1673235418,2023-01-09T03:36:58Z,SIA23,"40.644539,-73.77916",0,7,281
1673235424,2023-01-09T03:37:04Z,SIA23,"40.644516,-73.7789",0,7,284
1673235430,2023-01-09T03:37:10Z,SIA23,"40.644478,-73.778687",0,7,286
1673235436,2023-01-09T03:37:16Z,SIA23,"40.644436,-73.778427",0,7,292
1673235442,2023-01-09T03:37:22Z,SIA23,"40.644379,-73.778198",0,7,295
1673235449,2023-01-09T03:37:29Z,SIA23,"40.644306,-73.777924",0,7,300
1673235455,2023-01-09T03:37:35Z,SIA23,"40.644218,-73.77771",0,7,303
1673235460,2023-01-09T03:37:40Z,SIA23,"40.644119,-73.777481",0,8,309
1673235466,2023-01-09T03:37:46Z,SIA23,"40.644012,-73.777267",0,8,317
1673235473,2023-01-09T03:37:53Z,SIA23,"40.643875,-73.777023",0,7,329
1673235482,2023-01-09T03:38:02Z,SIA23,"40.643608,-73.776817",0,7,334
1673235489,2023-01-09T03:38:09Z,SIA23,"40.643383,-73.776672",0,7,331
1673235496,2023-01-09T03:38:16Z,SIA23,"40.643177,-73.776535",0,7,329
1673235503,2023-01-09T03:38:23Z,SIA23,"40.642971,-73.776367",0,7,331
1673235510,2023-01-09T03:38:30Z,SIA23,"40.642757,-73.776222",0,8,331
1673235517,2023-01-09T03:38:37Z,SIA23,"40.642536,-73.776062",0,8,331
1673235524,2023-01-09T03:38:44Z,SIA23,"40.642315,-73.775909",0,8,329
1673235531,2023-01-09T03:38:51Z,SIA23,"40.642105,-73.775734",0,8,331
1673235538,2023-01-09T03:38:58Z,SIA23,"40.641895,-73.775604",0,8,331
1673235545,2023-01-09T03:39:05Z,SIA23,"40.641685,-73.775459",0,7,329
1673235552,2023-01-09T03:39:12Z,SIA23,"40.641476,-73.775269",0,7,334
1673235560,2023-01-09T03:39:20Z,SIA23,"40.641266,-73.775047",0,7,357
1673235568,2023-01-09T03:39:28Z,SIA23,"40.641048,-73.774902",0,6,28
1673235580,2023-01-09T03:39:40Z,SIA23,"40.640831,-73.775085",0,5,33
1673235593,2023-01-09T03:39:53Z,SIA23,"40.640625,-73.775269",0,3,30
1673235789,2023-01-09T03:43:09Z,SIA23,"40.640862,-73.775085",0,6,30
1673235799,2023-01-09T03:43:19Z,SIA23,"40.641033,-73.774834",0,6,45
1673235805,2023-01-09T03:43:25Z,SIA23,"40.64098,-73.774628",0,5,73
1673235815,2023-01-09T03:43:35Z,SIA23,"40.64085,-73.774414",0,4,104
1673235826,2023-01-09T03:43:46Z,SIA23,"40.640686,-73.774208",0,5,123
1673235834,2023-01-09T03:43:54Z,SIA23,"40.640476,-73.774048",0,8,140
1673235840,2023-01-09T03:44:00Z,SIA23,"40.64027,-73.774139",0,8,174
1673235847,2023-01-09T03:44:07Z,SIA23,"40.640076,-73.774353",0,8,199
1673235854,2023-01-09T03:44:14Z,SIA23,"40.639847,-73.774567",0,9,210
1673235860,2023-01-09T03:44:20Z,SIA23,"40.639629,-73.774734",0,9,210
1673235867,2023-01-09T03:44:27Z,SIA23,"40.63937,-73.77494",0,9,210
1673235873,2023-01-09T03:44:33Z,SIA23,"40.639149,-73.775101",0,9,210
1673235880,2023-01-09T03:44:40Z,SIA23,"40.638893,-73.775299",0,10,210
1673235886,2023-01-09T03:44:46Z,SIA23,"40.638649,-73.775505",0,10,210
1673235892,2023-01-09T03:44:52Z,SIA23,"40.638439,-73.775658",0,10,210
1673235898,2023-01-09T03:44:58Z,SIA23,"40.638187,-73.775848",0,10,210
1673235904,2023-01-09T03:45:04Z,SIA23,"40.637939,-73.776047",0,10,210
1673235912,2023-01-09T03:45:12Z,SIA23,"40.637627,-73.776306",0,10,210
1673235918,2023-01-09T03:45:18Z,SIA23,"40.637375,-73.776505",0,11,210
1673235924,2023-01-09T03:45:24Z,SIA23,"40.637123,-73.776688",0,11,210
1673235930,2023-01-09T03:45:30Z,SIA23,"40.636826,-73.776917",0,12,210
1673235937,2023-01-09T03:45:37Z,SIA23,"40.636459,-73.777206",0,14,210
1673235943,2023-01-09T03:45:43Z,SIA23,"40.636124,-73.777451",0,14,210
1673235949,2023-01-09T03:45:49Z,SIA23,"40.635761,-73.77774",0,15,210
1673235955,2023-01-09T03:45:55Z,SIA23,"40.635391,-73.77803",0,15,210
1673235961,2023-01-09T03:46:01Z,SIA23,"40.635006,-73.778343",0,15,210
1673235966,2023-01-09T03:46:06Z,SIA23,"40.634697,-73.77858",0,14,210
1673235973,2023-01-09T03:46:13Z,SIA23,"40.634354,-73.778938",0,14,219
1673235978,2023-01-09T03:46:18Z,SIA23,"40.634178,-73.779282",0,14,233
1673235983,2023-01-09T03:46:23Z,SIA23,"40.634098,-73.77961",0,14,247
1673235985,2023-01-09T03:46:25Z,SIA23,"40.634075,-73.779854",0,14,255
1673235988,2023-01-09T03:46:28Z,SIA23,"40.634087,-73.780075",0,14,264
1673235991,2023-01-09T03:46:31Z,SIA23,"40.634125,-73.780304",0,13,272
1673235994,2023-01-09T03:46:34Z,SIA23,"40.634178,-73.78051",0,13,281
1673235997,2023-01-09T03:46:37Z,SIA23,"40.634262,-73.780731",0,13,289
1673236000,2023-01-09T03:46:40Z,SIA23,"40.634365,-73.780945",0,13,295
1673236004,2023-01-09T03:46:44Z,SIA23,"40.634495,-73.781227",0,13,300
1673236007,2023-01-09T03:46:47Z,SIA23,"40.634583,-73.781433",0,14,300
1673236012,2023-01-09T03:46:52Z,SIA23,"40.63475,-73.781792",0,14,300
1673236018,2023-01-09T03:46:58Z,SIA23,"40.63496,-73.782227",0,14,300
1673236021,2023-01-09T03:47:01Z,SIA23,"40.635052,-73.78244",0,14,300
1673236029,2023-01-09T03:47:09Z,SIA23,"40.635326,-73.783051",0,14,300
1673236035,2023-01-09T03:47:15Z,SIA23,"40.635532,-73.783493",0,15,300
1673236043,2023-01-09T03:47:23Z,SIA23,"40.635807,-73.784119",0,15,300
1673236048,2023-01-09T03:47:28Z,SIA23,"40.636005,-73.784538",0,15,300
1673236054,2023-01-09T03:47:34Z,SIA23,"40.636215,-73.785019",0,15,300
