Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673321509,2023-01-10T03:31:49Z,SIA23,"40.64378,-73.77948",0,0,239
1673321562,2023-01-10T03:32:42Z,SIA23,"40.643875,-73.779251",0,2,236
1673321585,2023-01-10T03:33:05Z,SIA23,"40.644024,-73.778976",0,3,239
1673321599,2023-01-10T03:33:19Z,SIA23,"40.644161,-73.778748",0,4,247
1673321610,2023-01-10T03:33:30Z,SIA23,"40.644299,-73.778503",0,4,267
1673321623,2023-01-10T03:33:43Z,SIA23,"40.644379,-73.778229",0,4,292
1673321631,2023-01-10T03:33:51Z,SIA23,"40.644344,-73.778015",0,4,303
1673321640,2023-01-10T03:34:00Z,SIA23,"40.644253,-73.777802",0,4,303
1673321650,2023-01-10T03:34:10Z,SIA23,"40.644142,-73.77758",0,5,309
1673321659,2023-01-10T03:34:19Z,SIA23,"40.644024,-73.777344",0,5,315
1673321668,2023-01-10T03:34:28Z,SIA23,"40.643898,-73.77713",0,5,323
1673321681,2023-01-10T03:34:41Z,SIA23,"40.643665,-73.776894",0,5,331
1673321693,2023-01-10T03:34:53Z,SIA23,"40.643444,-73.776733",0,5,329
1673321706,2023-01-10T03:35:06Z,SIA23,"40.643211,-73.776566",0,4,331
1673321716,2023-01-10T03:35:16Z,SIA23,"40.643005,-73.776413",0,5,329
1673321729,2023-01-10T03:35:29Z,SIA23,"40.642803,-73.776253",0,4,329
1673321742,2023-01-10T03:35:42Z,SIA23,"40.642582,-73.776093",0,4,329
1673321756,2023-01-10T03:35:56Z,SIA23,"40.642353,-73.775909",0,5,329
1673321768,2023-01-10T03:36:08Z,SIA23,"40.642139,-73.775734",0,4,329
1673321780,2023-01-10T03:36:20Z,SIA23,"40.64193,-73.775558",0,5,331
1673321791,2023-01-10T03:36:31Z,SIA23,"40.641724,-73.775375",0,5,340
1673321803,2023-01-10T03:36:43Z,SIA23,"40.641506,-73.775238",0,5,351
1673321812,2023-01-10T03:36:52Z,SIA23,"40.641304,-73.775146",0,4,5
1673321825,2023-01-10T03:37:05Z,SIA23,"40.641083,-73.775146",0,4,11
1673321834,2023-01-10T03:37:14Z,SIA23,"40.640877,-73.775146",0,5,22
1673321848,2023-01-10T03:37:28Z,SIA23,"40.640671,-73.775208",0,2,33
1673322255,2023-01-10T03:44:15Z,SIA23,"40.640888,-73.77507",0,7,30
1673322264,2023-01-10T03:44:24Z,SIA23,"40.641071,-73.774857",0,5,39
1673322272,2023-01-10T03:44:32Z,SIA23,"40.641003,-73.774643",0,4,70
1673322287,2023-01-10T03:44:47Z,SIA23,"40.640823,-73.774429",0,3,109
1673322299,2023-01-10T03:44:59Z,SIA23,"40.640697,-73.774223",0,5,120
1673322306,2023-01-10T03:45:06Z,SIA23,"40.640568,-73.774017",0,6,126
1673322313,2023-01-10T03:45:13Z,SIA23,"40.64043,-73.773804",0,7,126
1673322320,2023-01-10T03:45:20Z,SIA23,"40.640305,-73.773575",0,8,126
1673322326,2023-01-10T03:45:26Z,SIA23,"40.640156,-73.773315",0,9,126
1673322331,2023-01-10T03:45:31Z,SIA23,"40.640018,-73.773087",0,9,126
