Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1673407897,2023-01-11T03:31:37Z,SIA23,"40.643745,-73.779564",0,0,239
1673408005,2023-01-11T03:33:25Z,SIA23,"40.643829,-73.779358",0,2,241
1673408024,2023-01-11T03:33:44Z,SIA23,"40.643955,-73.779129",0,3,247
1673408042,2023-01-11T03:34:02Z,SIA23,"40.644085,-73.778824",0,3,258
1673408059,2023-01-11T03:34:19Z,SIA23,"40.644142,-73.778496",0,4,267
1673408071,2023-01-11T03:34:31Z,SIA23,"40.644184,-73.77829",0,2,272
1673408083,2023-01-11T03:34:43Z,SIA23,"40.644207,-73.778076",0,3,286
1673408093,2023-01-11T03:34:53Z,SIA23,"40.644207,-73.777863",0,3,295
1673408130,2023-01-11T03:35:30Z,SIA23,"40.644154,-73.777626",0,3,306
1673408140,2023-01-11T03:35:40Z,SIA23,"40.64407,-73.777405",0,4,317
1673408152,2023-01-11T03:35:52Z,SIA23,"40.643909,-73.777176",0,5,326
1673408162,2023-01-11T03:36:02Z,SIA23,"40.6437,-73.77697",0,5,329
1673408173,2023-01-11T03:36:13Z,SIA23,"40.643486,-73.776794",0,5,329
1673408183,2023-01-11T03:36:23Z,SIA23,"40.643269,-73.776627",0,5,329
1673408194,2023-01-11T03:36:34Z,SIA23,"40.643051,-73.776459",0,5,329
1673408205,2023-01-11T03:36:45Z,SIA23,"40.642838,-73.776283",0,5,329
1673408217,2023-01-11T03:36:57Z,SIA23,"40.642628,-73.776123",0,5,329
1673408227,2023-01-11T03:37:07Z,SIA23,"40.64241,-73.775955",0,5,329
1673408239,2023-01-11T03:37:19Z,SIA23,"40.642204,-73.775772",0,5,334
1673408249,2023-01-11T03:37:29Z,SIA23,"40.641987,-73.775635",0,5,334
1673408259,2023-01-11T03:37:39Z,SIA23,"40.641781,-73.775513",0,5,331
1673408272,2023-01-11T03:37:52Z,SIA23,"40.641563,-73.775345",0,4,334
1673408285,2023-01-11T03:38:05Z,SIA23,"40.641335,-73.775146",0,5,354
1673408298,2023-01-11T03:38:18Z,SIA23,"40.641083,-73.775032",0,4,14
1673408309,2023-01-11T03:38:29Z,SIA23,"40.640865,-73.775024",0,4,30
1673408326,2023-01-11T03:38:46Z,SIA23,"40.640663,-73.775208",0,3,36
1673408624,2023-01-11T03:43:44Z,SIA23,"40.640865,-73.77507",0,4,30
1673408638,2023-01-11T03:43:58Z,SIA23,"40.641037,-73.774857",0,4,39
